TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),
HAAC,Health Assurance Acquisition Co,9.8,undefined,None,,undefined,None,N/A , 538.37 Mil ,537264768,$,None,1857743,-538367281,0.034,$0.04 ,0,1.01344364,1.012409514,9.79,9.67,None,Not Found!,None,-9.766
HAACW,,,,Key Error,,,,N/A , - ,,$,,,,,$95.39 ,,,,,,,Not Found!,,0
HAACU,,10.03,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,1857743,,,$0.04 ,0,,,10.045,9.68,,Not Found!,,-10.03
HAFC,Hanmi Financial Corporation,20.3,48.6552,1.843,8,2.396807882,1.0636183,, 195.52 Mil ,208994720,$162.90 ,None,698374976,74599744,22.933,"$5,975.90 ",320239008,2.422434368,2.410501193,20.2,8.38,0.0212,Not Found!,None,2.633
HALL,"Hallmark Financial Services, In",3.52,-101.86848,-5.053,4.1,-28.93990909,0.38000214,,"-156,368,000.00",-97675928,($35.30),-23506500,281848992,216899916,15.683,"$1,327.80 ",105100000,1.348659004,1.348659004,3.52,2.61,0.0082,5.32,4.329,12.163
HAPP,Happiness Biotech Group Limited,0.9195,undefined,0.797,N/A,undefined,0.32270834,3.48,"-4,625,000.00",3398441,($0.93),-14104881,36558752,12487292,1.144,$15.11 ,2237000,1.044886364,1.022727273,0.9,0.88,0.0306,-1.75,1.412,0.2245
HAIN,"The Hain Celestial Group, Inc.",43.16,12.7664,0.395,11.7,0.2957924,2.9187968,5.39, 4.50 Bil ,4497128960,$125 ,119527376,75914000,-4307790576,0.779,$683 ,327820992,1.413228553,1.410936477,43.09,30.54,0.0801,26.94,19.286,-42.381
HALO,"Halozyme Therapeutics, Inc.",38.59,49.544,1.126,19,1.283855921,79.3644,5.28, 5.45 Bil ,6443081728,$149.50 ,44935248,764305984,-4569473472,5.37,$906.10 ,878233984,1.418228592,1.375229695,37.42,27.21,0.052800003,22.17,32.251,-33.22
HAYN,"Haynes International, Inc.",38.63,-93.5256,-2.051,20,-2.421061351,1.630967,2.44, 413.13 Mil ,401004736,$50.30 ,53118376,74164000,-411813216,5.926,$268.60 ,8979000,2.526487901,2.504905167,38.3,15.29,0.0279,-1828,611.288,-32.704
HAS,"Hasbro, Inc.",89.31,124.33472,2.966,17.7,1.392170194,4.2406826,2.64, 15.87 Bil ,17181163520,"$1,170 ",1105914752,1145100032,-11236109568,8.317,"$7,212 ",4770299904,1.093279471,1.098176031,89.71,81.69,0.0325,10.73,14.542,-80.993
HARP,"Harpoon Therapeutics, Inc.",7.08,undefined,-3.708,N/A,undefined,2.1641319,-1.35, 65.05 Mil ,124185120,($113.87),-10216750,171016992,-51120560,5.235,$105.25 ,12935000,1.039647577,1.000734214,6.815,6.81,0.092,-1.26,-2.411,-1.845
HBAN,Huntington Bancshares Incorpora,15.97,11.60272,1.142,-2.15,0.726532248,1.4911463,, 20.05 Bil ,14692574208,"$1,432 ",None,9713999872,-13918799872,9.542,"$154,641 ",7600000000,1.717204301,1.709139785,15.895,9.3,0.048699997,Not Found!,None,-6.428
HBANM,,26.11,,Unexpected error:<class 'TypeError'>,,,None,Not Found!,,,Not Found!,None,9713999872,,,Not Found!,7600000000,,,26.06,10,,,,-26.11
HBANN,Huntington Bancshares Incorpora,25.07,undefined,1.142,,undefined,2.3422182,Not Found!,,27224805376,Not Found!,None,9713999872,-17680381952,9.542,Not Found!,7600000000,1.00239904,1.00279888,25.08,25.01,None,,None,-15.528
HBCP,"Home Bancorp, Inc.",39.69,undefined,3.996,N/A,undefined,1.0559517,,,-24328504,$65.70 ,None,394684992,47693344,45.65,"$2,426.90 ",33079000,1.619339045,1.615667075,39.6,24.51,0.0108,,None,5.96
HBANP,,,,Key Error,,,,Not Found!,,,Not Found!,,,,,Not Found!,,,,,,,,,0
HBIO,"Harvard Bioscience, Inc.",6.75,-5.9792,-0.202,10,-0.885807407,3.422405,1.9, 317.42 Mil ,326671008,$4.80 ,7937125,5815000,-260100808,0.146,$75.30 ,52789000,2.280405405,2.195945946,6.5,2.96,0.0208,42.91,30.999,-6.604
HBMD,"Howard Bancorp, Inc.",20.8,undefined,-0.762,N/A,undefined,1.3406495,, 554.21 Mil ,504544928,$31.48 ,None,80439000,-311925320,4.283,"$2,296.28 ",278643008,2.248648649,2.248648649,20.8,9.25,0.0173,Not Found!,None,-16.517
HBP,"Huttig Building Products, Inc.",5.37,21.996,0.611,14,4.096089385,2.7748272,4.05, 273.66 Mil ,297269280,$30.20 ,34162500,4400000,-138764480,0.161,$241.40 ,149600000,2.285106383,2.212765957,5.2,2.35,0.0153,7.3,11.478,-5.209
HBNC,"Horizon Bancorp, Inc.",18.49,undefined,1.753,N/A,undefined,1.1781206,, 1.06 Bil ,1046560576,$94.60 ,None,334356992,-477824192,7.608,"$5,398.90 ",582332992,1.680909091,1.671818182,18.39,11,0.0068,Not Found!,None,-10.882
HCAR,Healthcare Services Acquisition,9.72,undefined,None,,undefined,None,N/A , 403.69 Mil ,401201664,$,None,88350,-403561634,0.002,$0.05 ,124000,1.0125,1.011458333,9.71,9.6,0.001,Not Found!,None,-9.718
HCAQ,HealthCor Catalio Acquisition C,9.95,undefined,None,,undefined,None,, 268.39 Mil ,250560352,$,None,868003,-268264797,0.034,$0.03 ,0,1.049578059,1.046455696,9.9204,9.48,0.0003,Not Found!,None,-9.916
HBT,"HBT Financial, Inc.",16.38,undefined,3.478,N/A,undefined,0.8467658,, 8.91 Mil ,34767328,$66.40 ,None,556297024,107504416,20.343,"$3,580.50 ",135484000,1.368421053,1.349206349,16.15,11.97,0.0109,Not Found!,None,3.963
HCARU,,10.01,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,88350,,,$0.05 ,124000,,,9.93,9.86,,Not Found!,,-10.01
HCARW,,,,Key Error,,,,N/A , - ,,$,,,,,$39.39 ,,,,,,,Not Found!,,0
HCCCU,,10.16,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,1184683,,,$0.02 ,0,,,10.16,9.75,,Not Found!,,-10.16
HCCCW,,,,Key Error,,,,N/A , - ,,$,,,,,$0.14 ,,,,,,,Not Found!,,0
HCCC,Healthcare Capital Corp.,9.88,undefined,None,,undefined,68.27586,, 339.20 Mil ,331221568,$,None,1184683,-339127797,0.034,$0.14 ,0,1.031853786,1.031853786,9.88,9.575,0.0001,Not Found!,None,-9.846
HCAT,"Health Catalyst, Inc",48.85,undefined,-28.305,N/A,undefined,8.292424,2.86, 2.32 Bil ,2526235136,($35.70),19672250,262756000,-1827935968,5.761,$287.10 ,199642000,1.543297634,1.477585063,46.77,31.653,0.13430001,-26.06,-40.559,-43.089
HCDIP,,14.25,,Unexpected error:<class 'TypeError'>,,,None,Not Found!,,,Not Found!,226762,12785600,,,Not Found!,43842300,,,14,13.51,,,,-14.25
HCCI,"Heritage-Crystal Clean, Inc.",29.5,25.2296,0.671,15,0.855240678,2.4014978,4.31, 725.69 Mil ,693723840,$46.90 ,26865250,67272000,-646569024,2.778,$165.80 ,78674000,2.11166786,2.090193271,29.2,13.97,0.0225,10.33,9.677,-26.722
HCDI,"Harbor Custom Development, Inc.",1.98,undefined,None,,undefined,None,0.48, 90.26 Mil ,88223288,($55.87),226762,12785600,-17739104,0.858,$49.91 ,43842300,1.010204082,1.005102041,1.97,1.96,0.098500006,-79.11,-50.364,-1.122
