TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AACG,ATA Creativity Global,2.37,-15.796830188679246,-0.284,25.00,-6.6653291935355465,0.32999998,-0.31 , 67.15 Mil ,27337896,$0.00,None,91364512,19599336,2.9,$50.87,39872320,2.2358490566037736,2.132075471698113,2.26,1.06,None, -4.84 ,-0.543
AADR,,62.41,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,62.83,52.85,,Not Found!,
AACIU,,9.95,,Unexpected error:<class 'TypeError'>,,,1972,, - ,,$,None,1937,,,$0.20,7000,,,9.8,9.76,,Not Found!,
AADI,"Aadi Bioscience, Inc.",29.02,undefined,-0.358,N/A,undefined,None,, 605.63 Mil ,601353984,$,None,11674604,-565778900,0.561,$0.00,9411781,30.41928721174004,28.9937106918239,27.66,0.954,None,Not Found!,-271.619
AAL,"American Airlines Group, Inc.",21.39,1891.2802264150948,-9.845,-124.20,88.4188979156192,None,-0.04 , 44.20 Bil ,44196122624,"$-2,548",-2783249920,17949999104,4049076224,27.724,"$80,131",48297000960,2.0122295390404514,2.0,21.26,10.63,0.16860001, -7.52 ,-5.77
AAON,"AAON, Inc.",67.08,48.673962264150944,1.43,12.00,0.7256106479450052,9.270592,20.82 , 3.40 Bil ,3403815424,$61.5,40959500,111427000,-3445212232,2.126,$120.5,0,1.1921094721876666,1.1814465967655945,66.48,56.27,0.0421, 29.21 ,28.876
AAOI,"Applied Optoelectronics, Inc.",6.81,-67.14815094339623,-1.881,13.00,-9.860227744992105,0.66692555,0.76 , 295.57 Mil ,295570720,$-49.5,-36835500,44013000,-142448408,1.622,$195.9,154751008,1.0657276995305165,1.0641627543035994,6.8,6.39,0.19790001, -21.71 ,-13.327
AAME,Atlantic American Corporation,4.18,undefined,0.746,N/A,undefined,0.60232323,, 109.58 Mil ,114513992,$-5.6,25857000,9532000,-76193360,0.467,$262.1,38470000,2.1999999999999997,2.142157894736842,4.0701,1.9,0.069, 4.75 ,4.967
AATC,Autoscope Technologies Corporat,7.34,25.553207547169816,0.54,20.00,3.481363426044934,1.9022869,25.05 , 31.00 Mil ,30997146,$2.09,1379500,8427000,-30860832,1.57,$1.00,29000,2.127536231884058,2.0579710144927534,7.1,3.45,0.0125, 11.15 ,15.398
AAPL,Apple Inc.,139.14,240.52704603773586,5.108,19.86,1.7286692973820317,36.34982,7.42 , 2.36 Til ,2406366838784,"$94,768",80625876992,61696000000,-2270880448512,3.732,"$265,560",135491002368,1.2964964591874766,1.2985464032799108,139.36,107.32,0.0061000003, 20.9 ,21.692
