TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AACIU,,10.01,,Unexpected error:<class 'TypeError'>,,,2003.0001,, - ,,$,None,13746,,,$0.20,132352,,,9.99,9.76,,Not Found!,
AADI,"Aadi Bioscience, Inc.",21.77,undefined,-0.358,N/A,undefined,None,, 454.33 Mil ,450553984,$,None,11674604,-450580372,0.561,$0.00,9411781,22.81970649895178,22.557651991614257,21.52,0.954,None,Not Found!,-203.506
AADR,,65.65,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,65.19,55.98,,Not Found!,
AACI,Armada Acquisition Corp. I,9.79,undefined,None,,undefined,1950,, 202.58 Mil ,213660016,$,None,13746,-201903886,0.001,$0.20,132352,1.0072016460905349,1.0,9.72,9.72,None,Not Found!,None
AACIW,,0.5,,Unexpected error:<class 'TypeError'>,,,100,, - ,,$,None,13746,,,$0.20,132352,,,0.5,0.5,,Not Found!,
AACG,ATA Creativity Global,2.21,-180.09182879377434,-3.14,25.00,-81.4895152913006,0.34848726,-0.34 , 61.29 Mil ,42585844,$0.00,None,75232600,6203416,2.419,$50.87,45096760,1.9909909909909909,1.9639639639639639,2.18,1.11,None, -4.64 ,-0.804
AAME,Atlantic American Corporation,4.23,undefined,0.505,N/A,undefined,0.60949373,, 108.56 Mil ,115942744,$-5.6,None,9532000,-77213904,0.467,$262.1,38470000,2.094059405940594,2.0643564356435644,4.17,2.02,0.0368, 4.81 ,6.016
AAL,"American Airlines Group, Inc.",21.33,857.3569494163426,-5.184,-105.10,40.19488745505591,None,0.19 , 45.93 Bil ,45929693184,"$-1,107",-976374976,14535999488,1397940224,22.45,"$75,874",46655000576,1.7440719542109564,1.64022894521668,20.06,12.23,0.1656, -18.42 ,-10.243
AATC,Autoscope Technologies Corporat,6.93,26.348638132295726,0.54,20.00,3.802112284602558,1.7936851,23.70 , 28.21 Mil ,28646854,$2.09,1379500,8427000,-28617884,1.57,$1.00,29000,1.7455919395465993,1.72544080604534,6.85,3.97,0.0063, 10.35 ,14.231
AAON,"AAON, Inc.",76.68,46.67937743190662,1.33,12.00,0.6087555742293508,10.147983,24.07 , 3.92 Bil ,3918368256,$45.0,30429124,101813000,-3960832504,1.942,$116.1,0,1.2948328267477205,1.2911178655859505,76.46,59.22,0.0369, 35.13 ,34.726
AAXJ,,87.44,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,87.49,82.67,,Not Found!,
AAPL,Apple Inc.,147.87,229.83973540856033,5.61,15.43,1.554336480750391,39.04973,7.28 , 2.49 Til ,2499896934400,"$92,953",73295003648,62639001600,-2398157058048,3.818,"$287,912",136521998336,1.3133493205435651,1.3098854249933385,147.48,112.59,0.0061000003, 20.21 ,20.792
