TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW
AACI,Armada Acquisition Corp. I,9.86,undefined,-0.085,,undefined,226.775,,202295504,None,657590,-205983866,0.032,0,1.0556745182012848,1.0683190578158457,9.9781,9.34,0.0001,undefined,20709500,USD,United States,none,None,undefined,undefined
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,
AACIU,,9.93,,-0.085,,,227.5,N/A ,,None,657590,,,0,,,10,9.76,,,,,,,,,
AACG,ATA Creativity Global,1.25,-12.99611267605634,-0.313,25.00,-10.396890140845072,0.19849081,-0.70 ,14391200,None,75232600,37266548,2.412,45096760,1.25,1.21,1.21,1,None,undefined,31376900,USD,China,strong_buy,-0.272,undefined,undefined
AADI,"Aadi Bioscience, Inc.",17.45,undefined,-8.896,N/A,undefined,2.4173238,8.03 ,350932768,None,161375008,-203643168,7.723,613000,1.2194269741439552,1.1900768693221524,17.03,14.31,None,undefined,20894000,USD,United States,buy,-27.682,undefined,undefined
AADR,,58.56,,None,,,None,Not Found!,,,,,,,,,58.39,52.82,,,,,,,,,
AAL,"American Airlines Group, Inc.",16.95,620.6781295774649,-5.184,-105.10,36.61817873613362,None,0.29 ,44944011264,-124625000,12430999552,1688742912,19.149,46177001472,1.362540192926045,1.331993569131833,16.57,12.44,0.1489,-0.19246688578080193,647513984,USD,United States,hold,-15.814,23.043978910499167,1.359526779380482
AAME,Atlantic American Corporation,3.315,undefined,0.614,N/A,undefined,0.48203,,81287016,31535250,14327000,-53128208,0.703,38295000,1.5636792452830188,1.5141509433962264,3.21,2.12,0.0242,1.5474689134680497,20378600,USD,United States,none,4.214,undefined,undefined
AAON,"AAON, Inc.",53.02,33.79323943661972,1.33,12.00,0.6373677751154229,6.8085384,11.16 ,2968372480,30429124,101813000,-2623918840,1.942,0,1.0359515435717077,1.0136772176631497,51.88,51.18,0.0347,0.5803983367666132,52428000,USD,United States,hold,26.307,14.747022528548879,0.27814074931250243
AAOI,"Applied Optoelectronics, Inc.",3.22,-54.38833802816902,-2.041,13.00,-16.890788207505906,0.31912702,0.15 ,254889552,-15275375,43534000,-41088560,1.595,154019008,1.0733333333333335,1.03,3.09,3,0.1519,-0.559586740226247,27297600,USD,United States,hold,-8.294,-14.911804401521964,-4.630995155752163
AATC,Autoscope Technologies Corporat,6.2,18.96895774647888,0.537,20.00,3.059509313948206,1.6171489,9.14 ,29160804,1562000,8502000,-24832624,1.583,111000,1.455399061032864,1.443661971830986,6.15,4.26,0.0063,0.29075503237023054,5372220,USD,United States,none,14.19,10.270614382880819,1.656550706916261
AAWW,Atlas Air Worldwide Holdings,67.3,387.94552112676064,16.919,10.00,5.764420819119772,0.73041785,1.77 ,4627590656,196027008,773910976,-1143118016,26.661,2621171968,1.08321261870272,1.0576211170127152,65.71,62.13,0.1934,6.7529620404915205,29028300,USD,United States,buy,4.899,154.8425662242281,2.3007810731683227
ABCM,Abcam plc,19.25,undefined,0.097,N/A,undefined,6.8175335,6.77 ,4753900032,15400000,219900000,-4222162336,0.972,110500000,1.25,1.2409090909090907,19.11,15.4,None,0.06728299051047693,228884000,USD,United Kingdom,buy,77.933,undefined,undefined
AAXJ,,74.68,,None,,,None,Not Found!,,,,,,,,,74.62,67.99,,,,,,,,,
ABCB,Ameris Bancorp,40.48,114.1149295774648,5.58,8.00,2.819044703000613,0.96072894,,432954752,None,3777502976,980257024,54.449,555707008,1.018621036738802,1.0060392551585302,39.98,39.74,0.0414,undefined,69635200,USD,United States,buy,None,undefined,undefined
ABEO,Abeona Therapeutics Inc.,0.3254,undefined,-0.567,N/A,undefined,0.3873563,-13.33 ,-25334990,-27067876,66998000,22528760,0.657,6165000,1.5495238095238097,1.4285714285714286,0.3,0.21,0.0153,-0.18461495859989907,146618000,USD,United States,buy,0.466,undefined,undefined
AAPL,Apple Inc.,172.14,168.12932957746483,5.61,15.68,0.9767011129166077,44.282738,7.48 ,3022112423936,73295003648,62639001600,-2727925559296,3.818,136521998336,1.4080981595092024,1.3842126789366054,169.22,122.25,0.0069,4.467464138872635,16406400000,USD,United States,buy,25.135,133.88801258110914,0.7777855964976713
ABGI,ABG Acquisition Corp. I,9.81,undefined,-0.099,,undefined,None,N/A ,187681376,None,617654,-188841834,0.032,0,1.0208116545265349,1.0197710718002082,9.8,9.61,0.0002,undefined,15566300,USD,United States,none,None,undefined,undefined
ABIO,"ARCA biopharma, Inc.",2.29,undefined,-1.485,N/A,undefined,0.60590637,N/A ,-29850322,-10266125,58313000,24016960,4.047,507000,1.3391812865497077,1.3391812865497077,2.29,1.71,0.0226,-0.712425659780293,14410100,USD,United States,none,1.59,undefined,undefined
ABMD,"ABIOMED, Inc.",317.52,68.4327909859155,2.909,10.48,0.21552277332424888,9.990788,56.09 ,13794247680,191921504,669220992,-13646989184,14.703,11165000,1.2152945229073373,1.1879664714662992,310.38,261.27,0.0313,4.216553754487413,45516200,USD,United States,buy,49.118,99.19234849147969,0.3123971670807499
ACAB,,9.96,,None,,,3323.3335,,,None,None,,,None,,,9.93,9.87,,,,,,,,,
ABOS,"Acumen Pharmaceuticals, Inc.",3.86,-252.410771830986,-5.016,32.10,-65.39139166605855,0.71890724,N/A ,-38010176,-16346000,194236992,32343792,4.799,0,1.046070460704607,1.005420054200542,3.71,3.69,0.04,-0.40387119409586075,40473300,USD,United States,strong_buy,1.941,-20.32325355303791,-5.265091594051273
ABCL,AbCellera Biologics Inc.,9.75,14.766647887323947,0.644,10.00,1.5145279884434817,2.6658802,7.10 ,1942038912,167605184,753478976,-1792013248,2.676,31759000,1.326530612244898,1.1945578231292517,8.78,7.35,0.1225,0.5952290415966714,281580992,USD,Canada,buy,6.505,13.648350418582835,1.399830812162342
ABVC,"ABVC Biopharma, Inc.",2.86,undefined,-0.418,N/A,undefined,8.681672,4.14 ,79705544,-6283795,3826929,-78002783,0.135,3501351,1.4666666666666666,1.3846153846153848,2.7,1.95,0.0058999998,-0.20733602135459114,30307300,USD,United States,none,-7.896,undefined,undefined
ACABU,,10.01,,None,,,3333.3333,N/A ,,None,None,,,None,,,10,9.935,,,,,,,,,
ABTX,"Allegiance Bancshares, Inc.",42.16,undefined,4.01,N/A,undefined,1.0292432,,293261056,None,757508992,-101174336,37.192,209172992,1.2291545189504374,1.2020408163265306,41.23,34.3,0.0322,undefined,20367200,USD,United States,hold,None,undefined,undefined
ACABW,,0.17,,None,,,64.36667,N/A ,,None,None,,,None,,,0.16,0.16,,,,,,,,,
ABNB,"Airbnb, Inc.",165.91,-77.1346028169014,-0.572,100.30,-0.4649183461931252,21.565401,7.37 ,97105895424,735152896,8322476032,-96182958080,13.134,2418499072,1.2790841107085036,1.228509752524863,159.35,129.71,0.0323,1.9806472971807914,371168000,USD,United States,buy,182.364,267.09168284687,1.6098588562887712
ACAH,Atlantic Coastal Acquisition Co,9.78,undefined,None,,undefined,None,,421334272,None,212592,-421118672,0.005,0,1.0176899063475546,1.0156087408949013,9.76,9.61,None,undefined,34500000,USD,United States,none,None,undefined,undefined
ACAHW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,
ABSI,Absci Corporation,7.64,-52.28365070422536,-2.078,11.80,-6.843409778039969,1.8496964,6.00 ,476225376,-65677248,252568992,-425599456,2.722,20011000,1.3570159857904085,1.2735346358792186,7.17,5.63,0.0639,-0.707937196699581,92772704,USD,United States,hold,-7.036,-17.81209870681876,-2.3314265323061205
ACAHU,,9.8,,None,,,None,N/A ,,None,212592,,,0,,,9.54,9.54,,,,,,,,,
ABST,Absolute Software Corporation,8.27,undefined,-0.274,N/A,undefined,27.965517,0.12 ,635168192,53557952,61596000,-349181984,1.222,279942016,1.1454293628808865,1.1121883656509695,8.03,7.22,None,1.0613374234830875,50462700,USD,Canada,buy,80.452,undefined,undefined
ACAX,,9.87,,None,,,899.38184,,,None,None,,,None,,,9.8932,9.8,,,,,,,,,
ABUS,Arbutus Biopharma Corporation,2.96,undefined,-0.832,N/A,undefined,2.4294267,-0.79 ,269439520,-38419876,155316992,-284661472,1.045,2614000,1.2436974789915967,1.1890756302521008,2.83,2.38,0.0512,-0.25847254477200254,148642000,USD,United States,buy,-3.855,undefined,undefined
ACAXU,,10.11,,None,,,919.0909,N/A ,,None,None,,,None,,,10.11,9.94,,,,,,,,,
ACAXW,,0.146,,None,,,17.236364,N/A ,,None,None,,,None,,,0.1752,0.1752,,,,,,,,,
ACBAU,,10.895,,-0.216,,,None,N/A ,,-642014,122008,,,185867,,,10.895,9.76,,,,,,,,,
ACBAW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,
