TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AADR,,67.3402,,Key Error,,,None,Not Found!,,,Not Found!,,,,Not Found!,,,,65.776,52.85,,,
AADI,,,,Unexpected error:<class 'requests.exceptions.ChunkedEncodingError'>,N/A,,,, 610.48 Mil ,,$,,,,$0.00,,,,,,,Not Found!,
AACIU,,9.93,,Unexpected error:<class 'TypeError'>,,,1984,, - ,,$,None,1937,,$0.11,7000,,,9.8147,9.76,,Not Found!,
AACG,ATA Creativity Global,2.76,undefined,-0.284,,undefined,0.39067057,-0.15 , 76.97 Mil ,37102896,$0.00,None,91364512,6405296,$50.87,39872320,2.6037735849056602,2.4716981132075473,2.62,1.06,None, -5.83 ,-0.737
AAL,"American Airlines Group, Inc.",19.89,2045.670448979592,-9.845,-124.20,102.84919301053756,None,-0.05 , 43.12 Bil ,43121344512,"$-2,548",-2783249920,17949999104,5175653376,"$80,131",48297000960,1.8711194731890874,1.8381937911571022,19.54,10.63,0.1778, -7.31 ,-5.629
AAME,Atlantic American Corporation,3.91,undefined,0.746,N/A,undefined,0.5736412,, 105.90 Mil ,110840048,$-5.6,25857000,9532000,-72111200,$262.1,38470000,2.0797872340425534,2.047872340425532,3.85,1.88,0.067, 4.59 ,4.807
AAOI,"Applied Optoelectronics, Inc.",7.46,-72.62963265306122,-1.881,13.00,-9.735875690758878,0.72420156,0.81 , 313.21 Mil ,313212608,$-49.5,-36835500,44013000,-158461848,$195.9,154751008,1.1674491392801252,1.1557120500782472,7.385,6.39,0.19860001, -22.88 ,-14.123
AAON,"AAON, Inc.",65.02,52.6473469387755,1.43,12.00,0.8097100421220471,9.0151615,20.33 , 3.35 Bil ,3347219456,$61.5,40959500,111427000,-3347217224,$120.5,0,1.1854147675478577,1.1839562443026435,64.94,54.85,0.0431, 28.38 ,28.395
AAPL,Apple Inc.,148.79,257.8685191836734,5.108,19.61,1.7331038321370618,37.624935,7.61 , 2.47 Til ,2488191156224,"$94,768",80625876992,61696000000,-2352705028096,"$265,560",135491002368,1.4431619786614938,1.4137730358874878,145.76,103.1,0.0058999998, 21.62 ,22.429
AAWW,Atlas Air Worldwide Holdings,78.42,528.8342040816326,15.917,10.00,6.743613926060094,0.8790915,1.71 , 4.15 Bil ,4149962240,$346,152069504,750161024,-1444992128,"$3,642",2704971008,1.5615292712066906,1.5003982477100757,75.35,50.22,0.1696, 3.91 ,4.76
AATC,Autoscope Technologies Corporat,8.25,undefined,0.54,,undefined,2.1231809,27.79 , 35.45 Mil ,35451908,$2.09,1379500,8427000,-35422944,$1.00,29000,2.4264705882352944,2.3558529411764706,8.0099,3.4,0.0068, 12.8 ,17.611
AAXJ,,87.02,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,86.7325,73.96,,Not Found!,
ABCB,Ameris Bancorp,47.45,180.46285714285713,6.09,8.00,3.803221436098148,1.1718732,, 3.63 Bil ,555929472,$706,None,3324837888,-12089088,"$19,050",556177984,2.274688398849473,2.2473633748801536,46.88,20.86,0.0352,Not Found!,None
