TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AACIU,,9.95,,Unexpected error:<class 'TypeError'>,,,1980,, - ,,$,None,1937,,,$0.20,7000,,,9.9,9.76,,Not Found!,
AADI,"Aadi Bioscience, Inc.",27.36,undefined,-0.358,N/A,undefined,None,, 570.99 Mil ,559129984,$,None,11674604,-559309652,0.561,$0.00,9411781,28.67924528301887,28.19706498951782,26.9,0.954,None,Not Found!,-252.547
AACG,ATA Creativity Global,2.27,-16.151877394636017,-0.286,25.00,-7.115364491029083,0.33090377,-0.31 , 62.54 Mil ,23557896,$0.00,None,91364512,19189184,2.9,$50.87,39872320,2.0825688073394493,2.018348623853211,2.2,1.09,None, -4.79 ,-0.468
AAME,Atlantic American Corporation,4.07,undefined,0.746,N/A,undefined,0.585114,, 108.15 Mil ,113085232,$-5.6,25857000,9532000,-73744064,0.467,$262.1,38470000,2.035,2.02575,4.0515,2,0.044099998, 4.67 ,4.905
AAON,"AAON, Inc.",71.52,49.419923371647506,1.43,12.00,0.6909944543015591,9.786915,21.81 , 3.64 Bil ,3636487936,$61.5,40959500,111427000,-3643298120,2.126,$120.5,0,1.2271791352093342,1.2179855868222376,70.9842,58.28,0.041500002, 30.9 ,30.849
AAOI,"Applied Optoelectronics, Inc.",7.66,-68.17724137931035,-1.881,13.00,-8.90042315656793,0.7426464,0.82 , 318.64 Mil ,318640864,$-49.5,-36835500,44013000,-163618712,1.622,$195.9,154751008,1.1987480438184663,1.1909233176838812,7.61,6.39,0.1983, -23.26 ,-14.367
AAL,"American Airlines Group, Inc.",19.19,844.2173793103449,-5.184,-105.10,43.99256796823058,None,0.18 , 44.54 Bil ,44440498176,"$-1,107",-976374976,14535999488,2103730176,22.45,"$75,874",46655000576,1.7654093836246552,1.7483900643974242,19.005,10.87,0.15619999, -18.13 ,-9.911
AADR,,65.195,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,64.75,54.03,,Not Found!,
AAPL,Apple Inc.,152.57,244.21328429118773,5.108,19.86,1.6006638545663483,38.588356,7.75 , 2.58 Til ,2543500394496,"$94,768",80625876992,90942996480,-2385281024000,5.502,"$265,560",112436002816,1.42163622810287,1.3642638837122625,146.4128,107.32,0.0061000003, 22.14 ,22.928
AATC,Autoscope Technologies Corporat,6.79,25.9448275862069,0.54,20.00,3.8210349906048457,1.7775468,23.50 , 27.83 Mil ,27830506,$2.09,1379500,8427000,-28284580,1.57,$1.00,29000,1.8808864265927978,1.8808864265927978,6.79,3.61,0.0066000004, 10.22 ,13.825
AAWW,Atlas Air Worldwide Holdings,81.29,496.41524904214566,15.917,10.00,6.106719756946065,0.942905,1.74 , 4.31 Bil ,4314243072,$346,152069504,750161024,-1604338816,25.845,"$3,642",2704971008,1.618677817602549,1.6023496614894464,80.47,50.22,0.16059999, 4.05 ,4.948
ABCB,Ameris Bancorp,53.65,169.4,6.09,8.00,3.1575023299161233,1.2835968,, 3.95 Bil ,960468672,$706,None,3324837888,-330223872,47.834,"$19,050",556177984,1.8811360448807855,1.7885694249649369,51.01,28.52,0.034,Not Found!,None
AAXJ,,87.41,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,85.87,79.06,,Not Found!,
ABCM,Abcam plc,23.23,undefined,0.099,N/A,undefined,8.196721,42.05 , 5.02 Bil ,5145226240,$17.8,15400000,219900000,-4996062624,0.972,$266.2,110500000,1.3553092182030337,1.3255542590431737,22.72,17.14,None, 77.73 ,84.348
ABCL,AbCellera Biologics Inc.,15.92,-97.1560459770115,0.74,-86.38,-6.102766707098713,4.4962792,16.79 , 3.68 Bil ,3679291904,$,174090608,792571008,-3585868672,2.844,$175.0,34897000,1.0971743625086148,1.0765127498277052,15.6202,14.51,0.100600004, 21.33 ,11.424
ABGI,ABG Acquisition Corp. I,9.78,undefined,-0.099,,undefined,37.644787,N/A , 189.11 Mil ,188368832,$,None,703509,-187789339,0.036,$0.00,0,1.0176899063475546,1.0145681581685744,9.75,9.61,0.0002,Not Found!,None
ABOS,"Acumen Pharmaceuticals, Inc.",14.4,-14837.797333333336,-216.786,32.10,-1030.4025925925928,None,-3.31 , 513.93 Mil ,674268608,$0.00,None,68812000,-513928608,1.7,$179.02,0,1.1338582677165354,1.0929133858267717,13.88,12.7,0.0332, -69.01 ,None
ABIO,"ARCA biopharma, Inc.",2.62,undefined,-1.52,N/A,undefined,0.6450094,N/A ," -25,007,000.00 ",-24920426,$-13.98,-8454625,63197000,23713324,4.386,$4.13,522000,1.027450980392157,1.0156862745098039,2.59,2.55,0.0207, 1.43 ,1.553
ABNB,"Airbnb, Inc.",171.7,-1974.307310344828,-10.764,100.30,-11.498586548310007,31.130976,4.38 , 102.95 Bil ,101374140416,"$1,451",None,7427938816,-99856279040,11.991,"$12,092",2443749120,1.4131687242798352,1.3899588477366254,168.88,121.5,0.0464, -24.25 ,-35.759
ABMD,"ABIOMED, Inc.",343.14,109.86705593869732,3.382,10.77,0.32018143014133393,11.523565,62.33 , 15.05 Bil ,15054400512,$247.7,180856000,523031008,-14545011232,11.526,$150.9,5658000,1.3685637937223307,1.2857655645515096,322.38,250.73,0.020399999, 50.61 ,51.939
ABSI,Absci Corporation,14.3,-179.00852107279698,-4.406,15.60,-12.518078396699089,None,2.57 , 1.56 Bil ,1556115456,$0.00,None,99450000,-1258364144,1.074,$219.96,170620000,1.4864864864864866,1.45010395010395,13.95,9.62,0.0337, -29.34 ,-47.766
ABEO,Abeona Therapeutics Inc.,0.8101,undefined,-0.577,N/A,undefined,0.97867477,-6.20 , 12.65 Mil ,12645004,$-38.19,-15419375,77559000,-4667696,0.766,$46.59,8200000,1.0254430379746835,1.0127848101265822,0.8001,0.79,0.033299997, -0.3 ,-0.277
ABST,Absolute Software Corporation,11.28,undefined,0.07,N/A,undefined,21.048689,1.43 , 427.74 Mil ,427866848,$44.0,53798376,140526000,-416732944,2.838,$206.2,11868000,1.205128205128205,1.1944444444444444,11.18,9.36,None, 37.75 ,49.885
ABTX,"Allegiance Bancshares, Inc.",38.66,undefined,3.729,N/A,undefined,0.99454105,, 329.06 Mil ,128801160,$75.6,None,903761024,111947328,44.572,"$5,719.5",248668992,1.4323823638384587,1.4379399777695445,38.81,26.99,0.018,Not Found!,None
ACAH,Atlantic Coastal Acquisition Co,9.7,undefined,None,,undefined,84.05173,, 418.46 Mil ,418461344,$,None,282415,-420186321,0.007,$28.60,0,1.0093652445369408,1.012486992715921,9.73,9.61,None, -217.61 ,None
ABVC,"ABVC Biopharma, Inc.",2.56,undefined,-0.447,N/A,undefined,42.333332,-3.50 , 73.60 Mil ,66587624,$-5.66,-3867207,924841,-66846423,0.038,$8.43,6497289,1.3128205128205128,1.2666666666666668,2.47,1.95,0.0067000003, -7.14 ,-7.078
ACAHW,,,,Key Error,,,,N/A , - ,,$,,,,,$28.60,,,,,,,Not Found!,
ACAHU,,9.9,,Unexpected error:<class 'TypeError'>,,,85.603455,N/A , - ,,$,None,282415,,,$28.60,0,,,9.9,9.8,,Not Found!,
ACBAW,,,,Key Error,,,,N/A , - ,,$,,,,,$3.43,,,,,,,Not Found!,
ABUS,Arbutus Biopharma Corporation,4.07,undefined,-0.945,N/A,undefined,None,-2.67 , 634.00 Mil ,483925216,$-59.81,-34567752,78379000,-469838024,0.79,$34.55,2832000,1.6748971193415638,1.6296296296296295,3.96,2.43,0.0298, -9.48 ,-7.692
ACBAU,,10.41,,Unexpected error:<class 'TypeError'>,,,12.711864,N/A , - ,,$,None,812369,,,$3.43,327839,,,10.41,10.02,, -173.85 ,
ACBA,Ace Global Business Acquisition,10.06,undefined,-0.095,,undefined,12.285714,, 60.15 Mil ,60951464,$,None,812369,-60623623,0.134,$3.43,327839,1.0371134020618558,1.0381443298969073,10.07,9.7,None, -175.21 ,None
ACAD,ACADIA Pharmaceuticals Inc.,18.11,-92.67563218390806,-1.641,25.00,-5.117373395025294,5.1037817,7.15 , 2.42 Bil ,2393283840,$-140.6,-63019752,556918016,-2326624000,3.467,$159.6,66655000,1.1549744897959184,1.1377551020408163,17.84,15.68,0.0766, -9.2 ,-11.541
ACBI,"Atlantic Capital Bancshares, In",27.26,93.95011494252876,2.103,18.00,3.446445889307731,1.5826718,, 3.76 Mil ,5043635,$115.6,None,644316032,85780480,31.735,"$3,427.3",95901000,2.0872894333843797,2.072741194486983,27.07,13.06,0.0275,Not Found!,None
ACCD,"Accolade, Inc.",40,-33.99092720306514,-2.653,-0.90,-0.8497731800766285,3.5989509,2.40 , 2.56 Bil ,2521748224,$-43.5,160410880,384003008,-2268565568,5.76,$536.2,279848992,1.2169151201703683,1.199878308487983,39.44,32.87,0.0652, -21.27 ,-31.152
ACB,Aurora Cannabis Inc.,6.88,undefined,-3.321,N/A,undefined,0.6444401,-1.05 , 1.33 Bil ,1337408000,$-203.5,-186061744,425208000,-888360768,2.146,$464.0,399550016,1.678048780487805,1.6170731707317074,6.63,4.1,None, -2.97 ,-6.916
ACEVU,,10.39,,Unexpected error:<class 'TypeError'>,,,59.827587,N/A , - ,,$0.00,None,2093,,,$46.12,90000,,,10.4,9.92,,Not Found!,
ACEVW,,,,Key Error,,,,N/A , - ,,$-1.49,,,,,$46.12,,,,,,,Not Found!,
ACEV,ACE Convergence Acquisition Cor,9.94,undefined,None,,undefined,57.18391,N/A , 285.86 Mil ,286150400,$0.00,None,2093,-286060403,0,$46.12,90000,1.0300518134715024,1.0290259067357512,9.9301,9.65,0.0187, -87.8 ,None
ACGL,Arch Capital Group Ltd.,42.04,481.4793057471266,4.961,49.07,11.452885483994448,1.2842402,, 18.97 Bil ,15367857152,"$3,132",1426578432,4323366912,-11871761408,11.211,"$31,577",2724148992,1.3720626631853785,1.3635770234986946,41.78,30.64,0.0106, 7.42 ,6.446
ACER,Acer Therapeutics Inc.,2.33,undefined,-1.289,N/A,undefined,4.3278084,-4.31 , 27.95 Mil ,11742373,$0.90,11509127,22128332,-11500636,1.546,$32.21,241632,1.0309734513274338,1.0221238938053099,2.31,2.26,0.0375, -1.63 ,-0.683
ACGLO,Arch Capital Group Ltd. - Depos,25.98,undefined,4.961,,undefined,0.799349,Not Found!,,9278756864,Not Found!,1426578432,4323366912,-10854440960,11.211,Not Found!,2724148992,1.0212264150943395,1.016509433962264,25.86,25.44,None,,3.892
ACGLN,,26.04,,Unexpected error:<class 'TypeError'>,,,0.79689234,Not Found!,,,Not Found!,1426578432,4323366912,,,Not Found!,2724148992,,,25.9305,24.98,,,
ACET,"Adicet Bio, Inc.",8.69,-171.01805363984678,-2.698,29.10,-19.679868082836226,1.1992749,3.56 , 88.52 Mil ,88524264,$-52.49,-20192250,208726000,-65117808,6.555,$40.44,20541000,1.3903999999999999,1.3376,8.36,6.25,0.028800001, -1.57 ,-1.941
ACHC,"Acadia Healthcare Company, Inc.",58.38,-205.04421455938703,-7.847,7.00,-3.5122338910480817,2.3393579,2.07 , 6.66 Bil ,6553601024,$345,45544376,185546000,-5385984752,2.065,"$2,207",1637619968,1.7165539547192004,1.778888562187592,60.5,34.01,0.0427, 17.05 ,13.316
ACHL,Achilles Therapeutics plc,6.25,-100.69172413793105,-5.105,3.20,-16.110675862068966,0.76952,N/A ," -30,641,000.00 ",-35107576,$0.00,-46949000,299316992,50011504,7.372,$29.52,14904000,1.146788990825688,1.1027522935779817,6.01,5.45,None, 1.16 ,0.716
ACIU,AC Immune SA,6.61,undefined,-1.131,N/A,undefined,2.4740684,10.52 , 266.67 Mil ,271851648,$-77.93,-42910752,199135008,-281098976,2.739,$24.02,2697000,1.495475113122172,1.4343891402714932,6.34,4.42,0.0337, -3.23 ,-3.75
ACKIW,,,,Key Error,,,,N/A , - ,,$-0.30,,,,,$0.69,,,,,,,Not Found!,
ACKIT,,10.07,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$-0.30,None,677130,,,$0.69,0,,,10.06,9.84,,Not Found!,
