TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACI,Armada Acquisition Corp. I,9.93,undefined,-0.203,,undefined,None,N/A,204887552,None,343600,-204887536,0.017,0,1.063169164882227,1.063169164882227,9.93,9.34,0.0002,undefined,20709500,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
AACIU,,9.98,,-0.203,,,None,N/A,,None,343600,,,0,,,9.98,9.76,,,,,,,,,,,
AACIW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
AACG,ATA Creativity Global,1.86,-5.797480719794344,-0.153,25.00,-3.1169251181690023,0.33762088,-0.53,37802368,None,62413832,3940624,1.988,39557444,2.1136363636363638,1.8181818181818183,1.6,0.88,None,undefined,31598600,USD,China,strong_buy,-0.93,undefined,undefined,Consumer Defensive,Education & Training Services
AAL,"American Airlines Group, Inc.",14.86,401.11101285347036,-3.671,-105.10,26.99266573711106,None,0.37,41921728512,-761124992,12522000384,2943269888,19.269,44864999424,1.245599329421626,1.2246437552388936,14.61,11.93,0.1336,-1.171238990868877,649846016,USD,United States,hold,45.077,127.9751724110302,8.612057362788036,Industrials,Airlines
AADR,,50.6703,,None,,,None,Not Found!,,,,,,,,,50.2,46.05,,,,,,,,,,,
AAME,Atlantic American Corporation,2.86,undefined,0.35,N/A,undefined,0.4763443,,82772552,31110124,15612000,-44578620,0.765,37935000,1.3490566037735847,1.3301886792452828,2.82,2.12,0.0154,1.5247370071948088,20403600,USD,United States,none,6.887,undefined,undefined,Financial Services,Insurance—Life
AADI,"Aadi Bioscience, Inc.",14.11,undefined,-8.813,N/A,undefined,2.3861535,6.79,168114016,-41372212,129849000,-167527384,6.2,587000,1.2827272727272727,1.2527272727272727,13.78,11,0.0506,-1.9755616464521057,20942000,USD,United States,buy,-3.607,undefined,undefined,Healthcare,Biotechnology
AAON,"AAON, Inc.",62.46,25.97017994858612,1.12,12.00,0.4157889841272194,6.812555,10.52,3347677440,-47942500,5633000,-3265675800,0.106,82003000,1.3149473684210526,1.2825263157894737,60.92,47.5,0.0272,-0.9033618987322691,53071200,USD,United States,buy,31.951,-20.94684916854773,-0.335364219797434,Industrials,Building Products & Equipment
AAOI,"Applied Optoelectronics, Inc.",1.97,-48.880719794344465,-2.01,13.00,-24.81254811895658,0.23387401,-0.02,160933312,None,40650000,-11212008,1.472,150224992,1.3310810810810811,1.222972972972973,1.81,1.48,0.1568,undefined,27634100,USD,United States,buy,-5.109,undefined,undefined,Technology,Semiconductors
AAPL,Apple Inc.,165.58,125.4356298200514,6.05,9.83,0.7575530246409675,45.803326,8.02,2728758870016,83344621568,48230998016,-2609076068352,3.001,119691001856,1.283168009919405,1.2631742095474272,163,129.04,0.0064999997,5.186090274071069,16070800384,USD,United States,buy,21.062,107.52404955896654,0.6493782435014285,Technology,Consumer Electronics
