TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW
AADR,,59.735,,None,,,None,Not Found!,,,,,,,,,59.93,52.82,,,,,,,,,
AACI,Armada Acquisition Corp. I,9.82,undefined,-0.085,,undefined,None,,202947584,None,419700,-202947580,0.02,0,1.051391862955032,1.051391862955032,9.82,9.34,0.0089,undefined,20709500,USD,United States,none,None,undefined,undefined
AACG,ATA Creativity Global,1.48,-7.370000000000001,-0.169,25.00,-4.979729729729731,0.24080269,-0.61 ,18980348,None,71339360,26156624,2.272,40717268,1.48,1.41,1.41,1,None,undefined,31376900,USD,China,strong_buy,-0.52,undefined,undefined
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,
AACIU,,9.93,,-0.085,,,None,N/A ,,None,419700,,,0,,,9.93,9.76,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",16.97,undefined,-12.41,N/A,undefined,2.6409314,7.90 ,206793264,-15228750,148988992,-211839040,7.119,605000,1.185883997204752,1.171907756813417,16.77,14.31,None,-0.7276143470761645,20929700,USD,United States,buy,-5.596,undefined,undefined
AAOI,"Applied Optoelectronics, Inc.",3.65,-57.12384615384615,-2.041,13.00,-15.65036880927292,0.34074533,0.17 ,254889552,-15275375,43534000,-46821056,1.595,154019008,1.2166666666666666,1.0966666666666667,3.29,3,0.1519,-0.559586740226247,27297600,USD,United States,hold,-8.294,-15.661806398048217,-4.290905862478963
AAON,"AAON, Inc.",55.73,35.492899408284025,1.33,12.00,0.6368724099817697,7.3598742,11.88 ,2968372480,30429124,101813000,-2844640760,1.942,0,1.0889019148104728,1.0830402500976943,55.43,51.18,0.0347,0.5803983367666132,52428000,USD,United States,hold,26.307,15.488736679393051,0.2779245770571156
AAME,Atlantic American Corporation,3.1,undefined,0.614,N/A,undefined,0.45871562,,81287016,31535250,14327000,-49865592,0.703,38295000,1.4622641509433962,1.4669811320754715,3.11,2.12,0.0242,1.5474689134680497,20378600,USD,United States,none,4.214,undefined,undefined
AAL,"American Airlines Group, Inc.",18.25,651.8956686390533,-5.184,-105.10,35.720310610359086,None,0.30 ,44944011264,-124625000,12430999552,620344320,19.149,46177001472,1.467041800643087,1.452170418006431,18.065,12.44,0.1489,-0.19246688578080193,647513984,USD,United States,hold,-15.814,24.20299560126392,1.3261915397952833
AAWW,Atlas Air Worldwide Holdings,86.37,407.4575739644971,16.919,10.00,4.717582192479994,0.9092618,1.84 ,4627590656,196027008,773910976,-1612505664,26.661,2621171968,1.4231339594661396,1.338935574229692,81.26,60.69,0.1934,6.7529620404915205,29028300,USD,United States,buy,4.899,162.63050594556503,1.882951325061538
AAXJ,,75.03,,None,,,None,Not Found!,,,,,,,,,75.905,67.99,,,,,,,,,
ABCM,Abcam plc,18.29,undefined,0.097,N/A,undefined,6.671418,6.64 ,4753900032,15400000,219900000,-4126958496,0.972,110500000,1.1876623376623376,1.17987012987013,18.17,15.4,None,0.06728299051047693,228884000,USD,United Kingdom,buy,77.933,undefined,undefined
ABGI,ABG Acquisition Corp. I,9.81,undefined,-0.099,,undefined,None,N/A ,187681376,None,617654,-188841834,0.032,0,1.0208116545265349,1.0197710718002082,9.8,9.61,0.0002,undefined,15566300,USD,United States,none,None,undefined,undefined
ABCL,AbCellera Biologics Inc.,9.75,15.509349112426037,0.644,10.00,1.590702473069337,2.9873195,7.73 ,1942038912,167605184,753478976,-2098936512,2.676,31759000,1.326530612244898,1.3374149659863945,9.83,7.35,0.1225,0.5952290415966714,281580992,USD,Canada,buy,6.505,14.3348059130086,1.4702365038983178
ABCB,Ameris Bancorp,43.88,119.8544378698225,5.58,8.00,2.731413807425308,1.0281738,,432954752,None,3777502976,783885568,54.449,555707008,1.0278753806512064,1.0,42.69,42.69,0.0414,undefined,69635200,USD,United States,buy,None,undefined,undefined
AATC,Autoscope Technologies Corporat,6.31,19.923017751479293,0.537,20.00,3.1573720683802367,1.6366954,9.24 ,29160804,1562000,8502000,-25235544,1.583,111000,1.4812206572769953,1.4691079812206573,6.2584,4.26,0.0063,0.29075503237023054,5372220,USD,United States,none,14.19,10.787183745333405,1.709537836027481
AAPL,Apple Inc.,174.61,176.58553846153848,5.61,15.68,1.0113140052776959,45.38141,7.62 ,3022112423936,73295003648,62639001600,-2797160673280,3.818,136521998336,1.4283026584867078,1.4064621676891615,171.94,122.25,0.0069,4.467464138872635,16406400000,USD,United States,buy,25.135,140.62202504820632,0.805349207079814
ABIO,"ARCA biopharma, Inc.",2.3,undefined,-1.485,N/A,undefined,0.5600815,N/A ,-29850322,-10266125,58313000,26610780,4.047,507000,1.3450292397660817,1.0318713450292398,1.7645,1.71,0.0226,-0.712425659780293,14410100,USD,United States,none,1.59,undefined,undefined
ACAB,,9.9,,None,,,3306.6667,,,None,None,,,None,,,9.912,9.87,,,,,,,,,
ABVC,"ABVC Biopharma, Inc.",2.73,undefined,-0.418,N/A,undefined,8.713827,4.02 ,76022120,-6283795,3826929,-73704543,0.135,3501351,1.4000000000000001,1.3128205128205128,2.56,1.95,0.0058999998,-0.2196409222143771,28609400,USD,United States,none,-7.531,undefined,undefined
ABST,Absolute Software Corporation,8.48,undefined,-0.274,N/A,undefined,29.793106,0.15 ,645752512,53557952,61596000,-374401760,1.222,279942016,1.1745152354570638,1.1634349030470914,8.4,7.22,None,1.0613374234830875,50462700,USD,Canada,buy,81.793,undefined,undefined
ABNB,"Airbnb, Inc.",171.76,-81.01415384615385,-0.572,100.30,-0.47167066747877184,22.959671,7.82 ,102935691264,735152896,8322476032,-102939564032,13.134,2418499072,1.3241847197594632,1.3278081874951815,172.23,129.71,0.0323,1.9806472971807914,371168000,USD,United States,buy,193.312,280.5252881971564,1.6332399173099463
ABOS,"Acumen Pharmaceuticals, Inc.",3.91,-265.1059881656805,-5.016,32.10,-67.80204300912546,0.72070456,N/A ,-35986516,-16346000,194236992,31939056,4.799,0,1.0596205962059622,1.0,3.69,3.69,0.04,-0.40387119409586075,40473300,USD,United States,strong_buy,1.838,-21.34542902759899,-5.45918900961611
ABTX,"Allegiance Bancshares, Inc.",44.68,undefined,4.01,N/A,undefined,1.0920142,,361696800,None,757508992,-135389056,37.192,209172992,1.3026239067055394,1.2781341107871722,43.84,34.3,0.0322,undefined,20367200,USD,United States,hold,None,undefined,undefined
ABSI,Absci Corporation,8.43,-54.913301775147936,-2.078,11.80,-6.5140334252844525,2.2317812,7.40 ,549515776,-65677248,252568992,-565686240,2.722,20011000,1.497335701598579,1.4760213143872114,8.31,5.63,0.0639,-0.707937196699581,92772704,USD,United States,hold,-8.119,-18.707973493848105,-2.219213937585778
ABMD,"ABIOMED, Inc.",331.24,54.30362840236686,2.909,5.84,0.16394043111449963,10.756623,60.21 ,14418729984,191921504,669220992,-14744385408,14.703,11165000,1.2678072492058026,1.2671565813143493,331.07,261.27,0.0313,4.216553754487413,45516200,USD,United States,buy,51.342,78.71233008672718,0.23762930227849044
ACABW,,0.201,,None,,,73.299995,N/A ,,None,None,,,None,,,0.2199,0.2199,,,,,,,,,
ABEO,Abeona Therapeutics Inc.,0.315,undefined,-0.567,N/A,undefined,0.41213283,-7.36 ,-25334990,-27067876,66998000,19684372,0.657,6165000,1.5,1.4980952380952381,0.3146,0.21,0.0153,-0.18461495859989907,146618000,USD,United States,buy,0.466,undefined,undefined
ACAHU,,9.81,,None,,,None,N/A ,,None,212592,,,0,,,9.81,9.81,,,,,,,,,
