TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AACG,ATA Creativity Global,1.18,undefined,None,25.00,undefined,None,-0.89 ,15638866,None,75232600,37191160,2.412,45096760,1.18,1.2,1.2,1,None,undefined,31701200,USD,China,strong_buy,-0.295
AACI,,9.83,,None,,,None,,,None,13746,,,132352,,,9.8,9.34,,,,,,,
AACIU,,10.05,,None,,,None,N/A ,,None,13746,,,132352,,,10.05,9.76,,,,,,,
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
AADI,,,,,N/A,,,,,,,,,,,,,,,,,,,,
AADR,,63.183,,None,,,None,Not Found!,,,,,,,,,63.22,58.48,,,,,,,
AAL,"American Airlines Group, Inc.",18.26,2766.1265682656826,-14.725,-124.20,151.48557328946782,None,0.18 ,43119640576,-1145750016,14535999488,2789069824,22.45,46655000576,1.2413324269204622,1.2338545207341942,18.15,14.71,0.1713,-1.786374223939489,641382976,USD,United States,hold,-9.068
AAME,,,,0.558,N/A,,,,,,,,,,,,,,,,,,,,
AAOI,"Applied Optoelectronics, Inc.",5.46,-85.34944649446494,-2.445,13.00,-15.63176675722801,0.5386687,0.43 ,308869984,-36835500,44013000,-106414760,1.622,154751008,1.06640625,1.064453125,5.45,5.12,0.1742,-1.3712814709199952,26862100,USD,United States,hold,-13.927
AAON,"AAON, Inc.",78.6,45.93210332103322,1.38,12.00,0.5843779048477509,11.145306,24.23 ,3501286400,40959500,111427000,-4047208520,2.126,0,1.3272543059777102,1.3214285714285714,78.255,59.22,0.0517,0.7811451086293177,52435200,USD,United States,hold,29.702
