TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AADR,,63.8216,,None,,,None,Not Found!,,,,,,,,,62.1832,57.76,,,,,,,
AACI,Armada Acquisition Corp. I,9.84,undefined,-0.085,,undefined,None,,203983072,None,419700,-203983068,0.02,0,1.0535331905781584,1.0524625267665952,9.83,9.34,0.0091,undefined,20709500,USD,United States,none,None
AACIU,,10.02,,-0.085,,,None,N/A ,,None,419700,,,0,,,9.9218,9.76,,,,,,,
AADI,"Aadi Bioscience, Inc.",19.22,undefined,-8.896,N/A,undefined,2.6027396,,232254688,None,161375008,-231641120,7.723,613000,20.146750524109013,19.591194968553463,18.69,0.954,None,undefined,20894000,USD,United States,buy,-18.32
AACG,ATA Creativity Global,1.65,-14.195753846153847,-0.313,25.00,-8.60348717948718,0.25754592,-0.77 ,22812942,None,75232600,25970864,2.412,45096760,1.65,1.53,1.53,1,None,undefined,31376900,USD,China,strong_buy,-0.431
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
AAL,"American Airlines Group, Inc.",18.71,404.7688615384616,-3.095,-105.10,21.63382477490441,None,0.29 ,45127483392,-433249984,12430999552,1024508928,19.192,46151999488,1.2548625083836351,1.1696847753185782,17.44,14.91,0.1728,-0.6688764172615665,647728000,USD,United States,hold,-14.195
AAME,Atlantic American Corporation,2.54,undefined,0.614,N/A,undefined,0.400466,,80268080,31535250,14327000,-41714152,0.703,38295000,1.1981132075471699,1.1839622641509433,2.51,2.12,0.0093,1.5474689134680497,20378600,USD,United States,none,4.162
AAOI,"Applied Optoelectronics, Inc.",3.93,-59.4088,-2.041,13.00,-15.116743002544528,0.39221743,0.32 ,214489040,-15275375,43534000,-60469856,1.595,154019008,1.0826446280991737,1.046831955922865,3.8,3.63,0.1555,-0.559586740226247,27297600,USD,United States,hold,-6.98
AAON,"AAON, Inc.",58.42,36.912615384615385,1.33,12.00,0.6318489453032418,7.695128,19.00 ,2978857984,30429124,101813000,-2978856184,1.942,0,1.006894174422613,1.003274732850741,58.21,58.02,0.0277,0.5803983367666132,52428000,USD,United States,hold,26.4
