TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ALTMAN Z-SCORE
AACG,ATA Creativity Global,2.77,-16.619203187250996,-0.283,25.00,-5.999712341967869,0.40670553, -6.05 ,-0.793, 79.85 Mil ,39937896,$0.00,$50.87,2.6132075471698113,2.6037735849056602,2.76,1.06,None,-0.12 
AADI,"Aadi Biosciences, Inc.",28.34,undefined,None,N/A,undefined,None,Not Found!,None, 573.87 Mil ,None,$,$0.00,29.70649895178197,28.27589098532495,26.9752,0.954,None,
AACIU,Armada Acquisition Corp. I,9.92,undefined,None,,undefined,1968.0001,Not Found!,None, - ,44717564,$,$0.11,1.0163934426229508,1.0081967213114753,9.84,9.76,None,
AADR,AdvisorShares Dorsey Wright,68.43,,Key Error,,,None,Not Found!,,Not Found!,,Not Found!,Not Found!,1.2947965941343427,1.2970785241248817,68.5506,52.85,,Not Found!
AAME,Atlantic American Corporation,4.13,undefined,0.746,N/A,undefined,0.5722071, 4.58 ,4.799, 105.70 Mil ,110635944,$-5.6,$262.1,2.1968085106382977,2.120744680851064,3.987,1.88,0.0642,
AAL,"American Airlines Group, Inc.",19.76,1996.769960159363,-9.845,-124.20,101.05111134409732,None, -7.28 ,-5.599, 42.89 Bil ,42888257536,"$-2,548","$80,131",1.858889934148636,1.8175070555032924,19.3201,10.63,0.15689999,-0.05 
AAOI,"Applied Optoelectronics, Inc.",7.77,-70.89346613545817,-1.881,13.00,-9.123998215631682,0.7494418, -23.4 ,-14.441, 320.27 Mil ,320269376,$-49.5,$195.9,1.215962441314554,1.197965571205008,7.655,6.39,0.1742,0.83 
AAON,"AAON, Inc.",68.16,51.38884462151395,1.43,12.00,0.7539443166301929,9.18044, 28.92 ,28.933, 3.41 Bil ,3410627840,$61.5,$120.5,1.2426618049225158,1.2215132178669097,67,54.85,0.044299997,20.65 
AAPL,Apple Inc.,153.65,251.70433147410355,5.108,19.61,1.638166817273697,39.747555, 22.8 ,23.657, 2.61 Til ,2624399605760,"$94,768","$265,560",1.4903006789524735,1.4849660523763337,153.1,103.1,0.0056,7.91 
AAWW,Atlas Air Worldwide Holdings,73.9,516.1927490039841,15.917,10.00,6.9850169012717735,0.85514694, 3.86 ,4.691, 4.09 Bil ,4090170880,$346,"$3,642",1.47152528872959,1.4558940661091198,73.115,50.22,0.1577,1.70 
AATC,Autoscope Technologies Corporat,7.95,undefined,0.54,,undefined,2.1075883, 12.69 ,17.452, 35.13 Mil ,35129880,$2.09,$1.00,2.338235294117647,2.335294117647059,7.94,3.4,0.0053,27.60 
