TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),
AADI,"Aadi Bioscience, Inc.",26.78,undefined,-0.358,N/A,undefined,None,, 558.88 Mil ,563705984,$,None,11674604,-556179028,0.561,$0.00 ,9411781,28.07127883,27.88259958,26.6,0.954,None,Not Found!,-254.614,-26.219
AADR,,65.363,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,65.64,52.85,,Not Found!,,-65.363
AACIU,,9.91,,Unexpected error:<class 'TypeError'>,,,1990,, - ,,$,None,1937,,,$0.20 ,7000,,,9.91,9.76,,Not Found!,,-9.91
AACG,ATA Creativity Global,2.29,-15.97770992,-0.284,25,-6.977165906,0.35921282,-0.23, 64.28 Mil ,24506044,$0.00 ,None,91364512,13246416,2.9,$50.87 ,39872320,2.12037037,2.092592593,2.26,1.08,None,-5.33,-0.487,0.61
AAOI,"Applied Optoelectronics, Inc.",7.34,-67.9170229,-1.881,13,-9.253000395,0.7009028,0.79, 309.96 Mil ,309955648,($49.50),-36835500,44013000,-151947896,1.622,$195.90 ,154751008,1.148669797,1.123630673,7.18,6.39,0.2016,-22.4,-13.976,-5.718
AAL,"American Airlines Group, Inc.",19.64,1912.936107,-9.845,-124.2,97.40000544,None,-0.05, 43.06 Bil ,43063070720,"($2,548)",-2783249920,17949999104,5013788672,27.724,"$80,131 ",48297000960,1.847601129,1.873941675,19.92,10.63,0.15640001,-7.34,-5.622,8.084
AAME,Atlantic American Corporation,4.4,undefined,0.746,N/A,undefined,0.62096655,, 114.07 Mil ,117575600,($5.60),25857000,9532000,-78846760,0.467,$262.10 ,38470000,2.2,2.14,4.28,2,0.0376,4.88,5.1,-3.933
AAON,"AAON, Inc.",69.29,49.23129771,1.43,12,0.710510863,9.561535,21.38, 3.52 Bil ,3519627776,$61.50 ,40959500,111427000,-3556832072,2.126,$120.50 ,0,1.231384397,1.236818909,69.5958,56.27,0.0428,30.15,29.858,-67.164
AATC,Autoscope Technologies Corporat,6.91,25.84580153,0.54,20,3.740347544,1.816528,23.99, 28.69 Mil ,28903942,$2.09 ,1379500,8427000,-29359540,1.57,$1.00 ,29000,1.985632184,1.954022989,6.8,3.48,0.0058,10.48,14.359,-5.34
AAPL,Apple Inc.,143.76,243.2811725,5.108,19.86,1.692273042,37.310665,7.56, 2.44 Til ,2.45017E+12,"$94,768 ",80625876992,61696000000,-2.33254E+12,3.732,"$265,560 ",1.35491E+11,1.339545285,1.337262393,143.515,107.32,0.0061,21.46,22.087,-140.028
