TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
ITRI,"Itron, Inc.",77.41,-77.79444444444445,-1.33,25.00,-1.0049663408402592,2.9578366,2.42 , 3.90 Bil ,4866600448,$169,107698128,574592000,-2965157888,"$1,288",962353024,1.3378845489111648,1.341168337366056,77.6,57.86,0.0462, 36.29 ,26.893
ITRN,Ituran Location and Control Ltd,25.05,41.581746031746036,0.866,19.00,1.6599499413870673,4.33362,3.53 , 512.02 Mil ,539146112,$46.8,64720000,70100000,-454395168,$173.8,43866000,1.8624535315985131,1.8736059479553904,25.2,13.45,0.0082, 9.14 ,8.604
IUS,,36.91,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,37.19,26.17,,Not Found!,
ITRM,Iterum Therapeutics plc,0.5761,undefined,-2.66,N/A,undefined,3.2670455,N/A , 30.37 Mil ,304401920,$-22.92,-12461000,102775000,-742248,$58.85,47108000,1.277383592017738,1.2250554323725056,0.5525,0.451,0.0171, -0.3 ,-12.214
IUSG,,,,Key Error,,,,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,,,,Not Found!,
IUSB,,53.8,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,53.75,52.48,,Not Found!,
IUSS,,37.3561,,Key Error,,,None,Not Found!,,,Not Found!,,,,Not Found!,,,,37.55,21.09,,,
IVAC,"Intevac, Inc.",4.7,-5.272142857142857,-0.183,8.00,-1.1217325227963524,1.1693149,3.59 , 80.30 Mil ,122648728,$7.54,9840875,48893000,-65965528,$21.32,8958000,1.0173160173160174,1.0194805194805194,4.71,4.62,0.0427, -10.18 ,7665.546
IVA,Inventiva S.A. - American Depos,13.95,undefined,None,,undefined,None,9.76 , 451.99 Mil ,386429600,$-52.53,-25122624,108703000,-451954408,$34.57,10086000,1.3260456273764258,1.3571102661596959,14.2768,10.52,None, -9.9 ,-11.059
IUSV,,70.84,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,71.31,52.61,,Not Found!,
