TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AACI,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AACIU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AACG,ATA Creativity Global,1.75,-4.611901840490797,-0.153,25.00,-2.6353724802804557,0.35580525,undefined,-0.96,32283260,None,60516272,6482664,1.927,36677972,1.9886363636363635,1.9431818181818181,1.71,0.88,None,undefined,31598600,USD,China,54033608,strong_buy,-0.718,undefined,undefined,Consumer Defensive,Education & Training Services
AADR,,43.8741,,None,,,None,,Not Found!,,,,,,,,,43.96,43.35,,,,,,,,,,,,
AAME,Atlantic American Corporation,2.93,undefined,0.13,N/A,undefined,0.5349794,1.6430956701030928,,81436704,36375000,15910000,-42429708,0.78,38748000,1.3820754716981132,1.3490566037735847,2.86,2.12,0.0047999998,1.7832193543642916,20398500,USD,United States,58339708,none,13.143,undefined,undefined,Financial Services,Insurance—Life
AAL,,,,,-105.10,,,,0.35,,,,,,,,,,,,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",13.7,undefined,-8.813,N/A,undefined,2.7314906,-6.140005612643972,4.68,179998848,-46894120,118737000,-178230392,5.65,1768000,1.2454545454545454,1.2354545454545454,13.59,11,0.051,-2.231268318678391,21016800,USD,United States,296967392,buy,-3.139,undefined,undefined,Healthcare,Biotechnology
AAOI,"Applied Optoelectronics, Inc.",2.66,-38.88466257668712,-2.01,13.00,-14.618294201762074,0.34256926,4.581291618731422,-0.10,192399104,16189375,33667000,-42174216,1.207,150224992,1.7972972972972974,1.804054054054054,2.67,1.48,0.1509,0.5806222832714074,27882800,USD,United States,75841216,buy,-6.065,11.232488343041952,4.2227399785871995,Technology,Semiconductors
AAPD,,28.59,,None,,,None,,Not Found!,,,,,,,,,28.4825,23.4,,,,,,,,,,,,
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPU,,19.79,,None,,,None,,Not Found!,,,,,,,,,18.9043,18.87,,,,,,,,,,,,
AAON,"AAON, Inc.",54.34,18.999182004089985,1.03,12.00,0.3496352963579312,5.83559,-31.214392594089738,8.19,2958703360,-92541872,17647000,-2846538344,0.332,112165000,1.1440000000000001,1.1313684210526316,53.74,47.5,0.0256,-1.7408636043838626,53158600,USD,United States,2864185344,buy,29.159,-32.11163540192729,-0.590939186638338,Industrials,Building Products & Equipment
AATC,,,,,20.00,,,,6.37,,,,,,,,,,,,,,,,,,,,,,
AAXJ,,58.87,,None,,,None,,Not Found!,,,,,,,,,58.53,58.48,,,,,,,,,,,,
AAWW,Atlas Air Worldwide Holdings,95.44,241.70306748466263,14.52,10.00,2.532513280434437,0.94486237,10.67133150241957,2.02,4369662976,253291376,606566976,-2100071104,21.417,2269519104,1.6258943781942077,1.6260647359454854,95.45,58.7,0.18010001,8.943588715087744,28321000,USD,United States,2706638080,hold,4.295,148.87691644338292,1.5599006333128973,Industrials,Airports & Air Services
ABCB,Ameris Bancorp,44.92,71.41226993865031,4.81,8.00,1.589765581893373,1.0057361,undefined,,1338023424,None,2306835968,-794253824,33.368,553870016,1.175300889586604,1.1677132391418106,44.63,38.22,0.0493,undefined,69360096,USD,United States,3101089792,buy,None,undefined,undefined,Financial Services,Banks—Regional
AAPL,Apple Inc.,142.48,97.87885480572598,6.05,9.48,0.6869655727521475,38.282547,27.473490138102342,7.08,2292438007808,83344621568,48230998016,-2172753633280,3.001,119691001856,1.1041537507749535,1.069435833849969,138,129.04,0.0072000003,5.186090274071069,16070800384,USD,United States,2220984631296,buy,17.694,83.90224412317187,0.5888703265242271,Technology,Consumer Electronics
ABCM,,,,,N/A,,,,28.58,,,,,,,,,,,,,,,,,,,,,,
ABGI,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ABIO,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ABCL,,,,,10.00,,,,6.42,,,,,,,,,,,,,,,,,,,,,,
ABEO,,,,,N/A,,,,-26.47,,,,,,,,,,,,,,,,,,,,,,
ABMD,"ABIOMED, Inc.",248.96,107.62903885480574,4.7,16.95,0.43231458408903334,7.2868032,50.60835878459799,42.65,10323599360,223637872,844321024,-10323604224,18.572,0,1.1324084603138505,1.1161246304298384,245.38,219.85,0.045100003,4.919345459504761,45460900,USD,United States,11167925248,hold,36.968,112.65200502154259,0.4524903800672501,Healthcare,Medical Devices
ABOS,,,,,32.10,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ABNB,"Airbnb, Inc.",106.66,93.57828220858896,1.91,45.95,0.8773512301574063,12.806633,18.532043697603626,3.50,59658764288,2297380352,9895479296,-57277495296,15.474,2381308928,1.2300772690577788,1.2078191673394074,104.73,86.71,0.0466,5.755436461321974,399167008,USD,United States,67172974592,buy,44.114,281.9810771786337,2.6437378321642013,Consumer Cyclical,Travel Services
ABST,Absolute Software Corporation,11.56,undefined,-0.455,N/A,undefined,184.2857,11.767876687471336,0.35,805812096,50149000,64029000,-532493944,1.254,277140992,1.7025036818851254,1.7039764359351988,11.57,6.79,None,0.9823352425427222,51050800,USD,Canada,596522944,buy,59.988,undefined,undefined,Technology,Software—Application
ABTX,"Allegiance Bancshares, Inc.",41.99,undefined,3.71,N/A,undefined,1.1895646,undefined,,656102272,None,292836992,-538106176,14.671,117998000,1.1336393088552916,1.1125809935205184,41.21,37.04,0.052800003,undefined,19960200,USD,United States,830943168,hold,None,undefined,undefined,Financial Services,Banks—Regional
ABUS,Arbutus Biopharma Corporation,1.98,undefined,-0.705,N/A,undefined,1.8561709,-21.02433252241646,-4.92,138671664,-14121875,150199008,-136207424,1.002,2465000,1.0702702702702702,1.0324324324324323,1.91,1.85,0.0353,-0.09417659266418536,149951008,USD,United States,286406432,buy,-2.267,undefined,undefined,Healthcare,Biotechnology
