TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
AACIU,,9.88,,Unexpected error:<class 'TypeError'>,,,1978.0001,, - ,,$,None,1937,,$0.11,7000,,,9.85,9.76,,Not Found!,
AADI,"Aadi Bioscience, Inc.",27.53,undefined,-0.825,N/A,undefined,None,, 572.62 Mil ,217227824,$,None,15018601,-565717399,$0.00,11592685,28.857442348008387,28.59014675052411,27.275,0.954,None,Not Found!,-63.449
AACG,ATA Creativity Global,2.78,-16.619203187250996,-0.283,25.00,-5.978130642896042,0.41545188,-0.09 , 82.38 Mil ,40252896,$0.00,None,91364512,1016096,$50.87,39872320,2.622641509433962,2.5613207547169807,2.715,1.06,None, -6.24 ,-0.799
AADR,,67.4311,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,67.1467,52.85,,Not Found!,
AAME,Atlantic American Corporation,4.03,undefined,0.746,N/A,undefined,0.56216836,, 104.27 Mil ,112064696,$-5.6,25857000,9532000,-70478336,$262.1,38470000,2.143617021276596,2.0851063829787235,3.92,1.88,0.0642, 4.52 ,4.861
AAL,"American Airlines Group, Inc.",20.2,1996.769960159363,-9.845,-124.20,98.84999802769124,None,-0.05 , 42.62 Bil ,42616324096,"$-2,548",-2783249920,17949999104,5680669696,"$80,131",48297000960,1.9002822201317024,1.7808090310442144,18.93,10.63,0.15689999, -7.23 ,-5.563
AAOI,"Applied Optoelectronics, Inc.",7.72,-70.89346613545817,-1.881,13.00,-9.183091468323598,0.7212892,0.80 , 320.27 Mil ,320269376,$-49.5,-36835500,44013000,-157647592,$195.9,154751008,1.2081377151799688,1.1586541471048515,7.4038,6.39,0.1742, -22.82 ,-14.441
AAON,"AAON, Inc.",64.67,51.38884462151395,1.43,12.00,0.7946318945649288,8.88813,20.09 , 3.30 Bil ,3277522432,$61.5,40959500,111427000,-3298481736,$120.5,0,1.1790337283500456,1.1724703737465816,64.31,54.85,0.044299997, 27.97 ,27.804
AAPL,Apple Inc.,154.07,251.70433147410355,5.108,19.61,1.6337011194528692,38.37455,7.71 , 2.52 Til ,2536293793792,"$94,768",80625876992,61696000000,-2400807927808,"$265,560",135491002368,1.4943743937924345,1.4422890397672163,148.7,103.1,0.0056, 22.04 ,22.863
AATC,Autoscope Technologies Corporat,8.25,undefined,0.54,,undefined,2.1387732,27.99 , 35.77 Mil ,35881284,$2.09,1379500,8427000,-35744972,$1.00,29000,2.4264705882352944,2.373529411764706,8.07,3.4,0.0053, 12.92 ,17.825
AAXJ,,89.19,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,89.17,73.96,,Not Found!,
AAWW,Atlas Air Worldwide Holdings,73.04,516.1927490039841,15.917,10.00,7.0672610761772185,0.8603775,1.70 , 4.10 Bil ,4074787584,$346,152069504,750161024,-1398261888,"$3,642",2704971008,1.4544006371963363,1.454599761051374,73.05,50.22,0.1577, 3.87 ,4.674
ABCB,Ameris Bancorp,46.75,176.14900398406377,6.09,8.00,3.7678931333489576,1.1402671,, 3.54 Bil ,480860320,$706,None,3324837888,77909504,"$19,050",556177984,2.241131351869607,2.2238734419942476,46.39,20.86,0.0334,Not Found!,None
ABCM,Abcam plc,21.07,undefined,-0.012,N/A,undefined,7.2828736,38.37 , 4.61 Bil ,4532071936,$17.8,18700000,211900000,-4523286944,$255.4,117000000,1.2292882147024504,1.218203033838973,20.88,17.14,None, 99.63 ,87.323
ABCL,AbCellera Biologics Inc.,18.43,-101.0268047808765,0.74,-86.38,-5.481649743943381,5.4350314,19.92 , 4.38 Bil ,4378838528,$,174090608,792571008,-4500018048,$175.0,34897000,1.270158511371468,1.275671950379049,18.51,14.51,0.1046, 25.73 ,13.596
ABGI,ABG Acquisition Corp. I,9.7,undefined,-0.099,,undefined,37.4305,N/A , 186.60 Mil ,185855600,$,None,703509,-186716379,$0.00,0,1.0093652445369408,1.008792924037461,9.6945,9.61,0.00029999999,Not Found!,None
ABIO,"ARCA biopharma, Inc.",3.07,undefined,-1.52,N/A,undefined,0.7179849,N/A ," -18,811,000.00 ",-18435860,$-13.98,-8454625,63197000,19246196,$4.13,522000,1.128676470588235,1.1029779411764706,3.0001,2.72,0.028499998, 1.18 ,1.149
ABEO,Abeona Therapeutics Inc.,1.3,undefined,-0.577,N/A,undefined,1.5542169,-5.58 , 61.22 Mil ,62236120,$-38.19,-15419375,77559000,-53023824,$46.59,8200000,1.3131313131313131,1.2828282828282829,1.27,0.99,0.052800003, -1.38 ,-1.361
ABMD,"ABIOMED, Inc.",365.84,109.8570613545817,3.382,10.03,0.30028717842385116,12.535574,67.60 , 15.87 Bil ,16084531200,$247.7,180856000,523031008,-15868297760,$150.9,5658000,1.5071890578008487,1.4860132657685494,360.7,242.73,0.0196, 55.24 ,55.493
ABNB,"Airbnb, Inc.",166,-2052.9649721115543,-10.764,100.30,-12.367258868141894,30.134987,4.21 , 99.37 Bil ,97843314688,"$1,451",None,7427938816,-96423880192,"$12,092",2443749120,1.3662551440329218,1.3581069958847736,165.01,121.5,0.0372, -23.2 ,-34.513
ABOS,"Acumen Pharmaceuticals, Inc.",17.7,-15428.944637450202,-216.786,32.10,-871.6917874265652,None,-2.91 , 647.47 Mil ,821977152,$0.00,None,68812000,-619145696,$179.02,0,1.2688172043010753,1.2186379928315412,17,13.95,0.0001, -83.98 ,None
ABSI,Absci Corporation,14.3,-186.14033466135461,-4.406,15.60,-13.016806619675148,None,2.41 , 1.56 Bil ,1556115456,$0.00,None,99450000,-1200053104,$219.96,170620000,1.0450924504860046,1.0048965870057736,13.75,13.683,0.010299999, -28.25 ,-47.766
ABST,Absolute Software Corporation,11.75,undefined,0.07,,undefined,22.078653,1.51 , 454.25 Mil ,453118432,$44.0,53798376,140526000,-444362960,$206.2,11868000,1.2553418803418803,1.2553418803418803,11.75,9.36,None, 41.29 ,52.829
ABTX,"Allegiance Bancshares, Inc.",35.23,undefined,3.579,N/A,undefined,0.9015701,, 248.81 Mil ,259702240,$75.6,None,711284992,-275968,"$5,719.5",259428000,1.6428071811611096,1.6255537421310329,34.86,21.445,0.0145000005,Not Found!,None
ABVC,"ABVC Biopharma, Inc.",3.4,undefined,-0.447,N/A,undefined,53.5,-2.23 , 90.94 Mil ,86911576,$-5.66,-3867207,924841,-84723095,$8.43,6497289,1.7435897435897436,1.630769230769231,3.18,1.95,0.0165, -8.9 ,-9.239
ABUS,Arbutus Biopharma Corporation,3.87,undefined,-0.945,N/A,undefined,None,-4.65 , 514.67 Mil ,464092960,$-59.81,-34567752,78379000,-355947080,$34.55,2832000,1.646808510638298,1.774468085106383,4.17,2.35,0.051799998, -7.76 ,-7.377
ACAH,Atlantic Coastal Acquisition Co,9.69,undefined,None,,undefined,83.62069,, 417.60 Mil ,417598848,$,None,282415,-418030065,$28.60,0,1.0083246618106139,1.0062434963579605,9.67,9.61,None, -216.26 ,None
ACAD,ACADIA Pharmaceuticals Inc.,16.45,-96.36788844621516,-1.641,25.00,-5.858230300681773,4.574922,6.03 , 2.09 Bil ,2152318976,$-140.6,-63019752,556918016,-2027827968,$159.6,66655000,1.028125,1.005,16.08,16,0.0796, -8.05 ,-10.379
ACAHU,,9.9009,,Unexpected error:<class 'TypeError'>,,,85.43104,N/A , - ,,$,None,282415,,$28.60,0,,,9.91,9.8,,Not Found!,
ACAHW,,,,Key Error,,,,N/A , - ,,$,,,,$28.60,,,,,,,Not Found!,
