TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA
AACI,Armada Acquisition Corp. I,9.85,undefined,-0.085,,undefined,222.95456,,203123888,None,657590,-202502618,0.032,0,1.0546038543897216,1.049250535331906,9.8,9.34,0.0001,undefined,20709500,USD,United States,none,None
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,
AACIU,,10.35,,-0.085,,,227.04546,N/A ,,None,657590,,,0,,,9.99,9.76,,,,,,,
AACG,ATA Creativity Global,1.83,-15.378733333333335,-0.313,25.00,-8.40367941712204,0.2870735,-0.70 ,30922766,None,75232600,20323024,2.412,45096760,1.83,1.72,1.72,1,None,undefined,31376900,USD,China,strong_buy,-0.584
AADI,"Aadi Bioscience, Inc.",19.7,undefined,-8.896,N/A,undefined,2.62903,,250850368,None,161375008,-235610976,7.723,613000,20.649895178197067,19.454926624737944,18.56,0.954,None,undefined,20894000,USD,United States,buy,-19.787
AADR,,62.3444,,None,,,None,Not Found!,,,,,,,,,61.06,58.48,,,,,,,
AAL,"American Airlines Group, Inc.",16.76,734.4691200000001,-5.184,-105.10,43.82273985680191,None,0.17 ,42970722304,-1145750016,14535999488,3981521920,22.45,46655000576,1.1158455392809588,1.0712383488681758,16.09,15.02,0.16290002,-1.7694598793406136,647513984,USD,United States,hold,-9.037
AAME,Atlantic American Corporation,2.48,undefined,0.614,N/A,undefined,0.3320227,,74763832,31535250,14327000,-32136208,0.703,38295000,1.1121076233183858,1.022421524663677,2.28,2.23,0.0229,1.5474689134680497,20378600,USD,United States,none,3.876
AAOI,"Applied Optoelectronics, Inc.",3.98,-64.35953333333333,-2.041,13.00,-16.17073701842546,0.39736462,0.32 ,219129632,-15275375,43534000,-61834736,1.595,154019008,1.0337662337662337,1.0,3.85,3.85,0.16610001,-0.559586740226247,27297600,USD,United States,hold,-7.131
AAON,"AAON, Inc.",65.71,39.98866666666667,1.33,12.00,0.6085628772890986,8.598743,20.86 ,3343232768,30429124,101813000,-3340609784,1.942,0,1.1095913542722053,1.0981087470449173,65.03,59.22,0.033299997,0.5803983367666132,52428000,USD,United States,hold,29.629
AAPL,Apple Inc.,164.51,200.35180000000005,5.61,15.85,1.2178700382955447,42.28326,7.68 ,2738445877248,73295003648,62639001600,-2590230753280,3.818,136521998336,1.4156268823681266,1.39660958609414,162.3,116.21,0.0058,4.487156304818299,16334399488,USD,United States,buy,22.776
AATC,Autoscope Technologies Corporat,6.08,22.446600000000004,0.537,20.00,3.6918750000000005,1.5741465,28.49 ,24057196,1562000,8502000,-23946208,1.583,111000,1.497536945812808,1.4778325123152711,6,4.06,0.0027,0.29075503237023054,5372220,USD,United States,none,11.707
AAWW,Atlas Air Worldwide Holdings,77.42,459.06886666666674,16.919,10.00,5.929590114526824,0.8661269,1.76 ,4094631168,196027008,773910976,-1499295040,26.661,2621171968,1.5162553858206032,1.5007833920877398,76.63,51.06,0.2232,6.7529620404915205,29028300,USD,United States,buy,4.335
AAXJ,,84,,None,,,None,Not Found!,,,,,,,,,82.56,79.8,,,,,,,
ABCL,AbCellera Biologics Inc.,9.08,17.47386666666667,0.644,10.00,1.9244346549192368,2.547921,10.12 ,1835037952,167605184,753478976,-1679380928,2.676,31759000,1.0669800235017626,1.0,8.51,8.51,0.1024,0.5952290415966714,281580992,USD,Canada,buy,6.147
ABCB,Ameris Bancorp,50.6,135.03600000000003,5.58,8.00,2.6686956521739136,1.2027647,,288651776,None,3777502976,275548672,54.449,555707008,1.3825136612021858,1.3691256830601093,50.11,36.6,0.0417,undefined,69635200,USD,United States,buy,None
ABCM,Abcam plc,17.57,undefined,0.098,N/A,undefined,5.98717,31.56 ,3864933888,15400000,219900000,-3740749984,0.972,110500000,1.0464562239428232,1.0,16.79,16.79,None,0.06728299051047693,228884000,USD,United States,buy,63.36
