TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW
AACIW,,,,,,,,N/A ,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. I,9.86,undefined,-0.085,,undefined,None,,203775968,None,419700,-203775964,0.02,0,1.0556745182012848,1.0551391862955033,9.855,9.34,0.0004,undefined,20709500,USD,United States,none,None,undefined,undefined
AACIU,,10.02,,-0.085,,,227.72728,N/A ,,None,657590,,,0,,,10.01,9.76,,,,,,,,,
AACG,ATA Creativity Global,1.16,-6.021604010025063,-0.163,25.00,-5.191037939676779,0.19732441,-0.71 ,8618348,None,71339360,34053012,2.272,40717268,1.16,1.15,1.15,1,None,undefined,31598600,USD,China,strong_buy,-0.236,undefined,undefined
AADI,"Aadi Bioscience, Inc.",15.43,undefined,-12.41,N/A,undefined,2.2365198,6.36 ,174561504,-15228750,148988992,-156764224,7.119,605000,1.0782669461914745,1.0202655485674352,14.6,14.31,None,-0.7271869926463566,20942000,USD,United States,buy,-4.723,undefined,undefined
AADR,,55.21,,None,,,None,Not Found!,,,,,,,,,54.66,52.82,,,,,,,,,
AAME,Atlantic American Corporation,3,undefined,0.614,N/A,undefined,0.4441532,,81287016,31535250,14327000,-47827728,0.703,38295000,1.4150943396226414,1.399764150943396,2.9675,2.12,0.0242,1.5474689134680497,20378600,USD,United States,none,4.214,undefined,undefined
AAL,"American Airlines Group, Inc.",19.43,552.2324210526316,-5.184,-105.10,28.421637727876046,None,0.27 ,44944011264,-124625000,12430999552,277161984,19.149,46177001472,1.5618971061093248,1.504823151125402,18.72,12.44,0.1489,-0.19246688578080193,647513984,USD,United States,hold,-15.814,20.502788253702267,1.0552129826918306
AAOI,"Applied Optoelectronics, Inc.",2.58,-48.39062656641604,-2.041,13.00,-18.75605680868839,0.2645666,0.11 ,254889552,-15275375,43534000,-26620832,1.595,154019008,1.0530612244897959,1.0326530612244897,2.53,2.45,0.1519,-0.559586740226247,27297600,USD,United States,hold,-8.294,-13.267394893584704,-5.1424011215444585
AAON,"AAON, Inc.",50.09,30.066666666666666,1.33,12.00,0.6002528781526585,6.382923,10.60 ,2968372480,30429124,101813000,-2453527800,1.942,0,1.0426727726894256,1.011865112406328,48.61,48.04,0.0347,0.5803983367666132,52428000,USD,United States,hold,26.307,13.120784455225191,0.2619441895632899
AATC,Autoscope Technologies Corporat,6.67,16.877142857142857,0.537,20.00,2.530306275433712,1.7513683,9.79 ,29160804,1562000,8502000,-27599316,1.583,111000,1.3181818181818183,1.2930632411067196,6.5429,5.06,0.0063,0.29075503237023054,5372220,USD,United States,none,14.19,9.138015303064387,1.37001728681625
AAWW,Atlas Air Worldwide Holdings,69.78,345.1645614035088,16.919,10.00,4.946468349147446,0.76249254,1.77 ,4627590656,196027008,773910976,-1227300160,26.661,2621171968,1.1231289232254948,1.1068726863029132,68.77,62.13,0.1934,6.7529620404915205,29028300,USD,United States,buy,4.899,137.76719551278438,1.9743077602863912
AAXJ,,70.41,,None,,,None,Not Found!,,,,,,,,,70.82,67.99,,,,,,,,,
AAPL,Apple Inc.,163.64,149.58875187969926,5.61,15.68,0.914133169638837,41.043995,7.09 ,3022112423936,73295003648,62639001600,-2523829940224,3.818,136521998336,1.338568507157464,1.2862985685071575,157.25,122.25,0.0069,4.467464138872635,16406400000,USD,United States,buy,25.135,119.1234197150219,0.7279602769189801
ABCB,Ameris Bancorp,42.32,101.53082706766918,5.58,8.00,2.399121622581975,0.99732137,,432954752,None,3777502976,873715200,54.449,555707008,1.0668011091504914,1.046130577262415,41.5,39.67,0.0414,undefined,69635200,USD,United States,buy,None,undefined,undefined
