TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL)
AACG,4.37,undefined,None,25,undefined,-6.44, 118.11 Mil ,$0.00 ,$52.85 
AACQ,10.1,undefined,None,N/A,undefined,Not Found!, 933.34 Mil ,$,$0.34 
AMC,10.21,11815.14632,-39.152,-217,1157.213155,-4.3, 15.80 Bil ,"($1,303)","$13,135 "
AAME,3.68,undefined,0.558,N/A,undefined,5.31, 96.13 Mil ,$8.70 ,$260.10 
TOPS,1.89,1766.358579,-6.343,-200.9,934.5812587,102.89, 352.31 Mil ,($184.04),$303.97 
NINE,2.3,842.6839474,-12.74,-54.2,366.3843249,-1.35, 386.39 Mil ,($14.30),$422.20 
MITT,4.03,939.9525474,-12.244,-61.54,233.2388455,Not Found!, 782.55 Mil ,$4.16 ,$990.34 
GLNG,10.23,1980.426684,-2.477,-560.9,193.5900962,20.09, 3.75 Bil ,($156.40),"$2,708.80 "
AAXJ,92.66,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
RENN,9.05,1470.921592,-5.771,-184.6,162.5327726,-20.56, 260.22 Mil ,$0.00 ,$92.20 
ABCL,33.96,undefined,None,-80.23,undefined,45.33, 7.69 Bil ,$,$175.00 
ABCM,19.22,undefined,None,N/A,undefined,99.42, 4.35 Bil ,$37.80 ,$259.50 
ABEO,1.88,undefined,-0.909,N/A,undefined,-1.29, 97.44 Mil ,($36.36),$48.65 
ABIO,3.65,undefined,-2.067,N/A,undefined,-0.57, 5.52 Mil ,($7.74),$3.91 
NEXA,10.25,1636.857026,-4.223,-276.3,159.6933684,-8.01, 2.56 Bil ,($32),"$3,443 "
ABNB,187.94,undefined,None,100.3,undefined,-26.32, 110.47 Bil ,($223),"$7,590 "
ABST,13.87,undefined,None,,undefined,27.06, 567.97 Mil ,$40.80 ,$188.80 
ABTX,40.54,undefined,2.22,N/A,undefined,Not Found!, 665.70 Mil ,$53.90 ,"$5,291.50 "
ABUS,3.33,undefined,-1,N/A,undefined,-6.25, 360.97 Mil ,($51.44),$35.11 
ACAC,9.95,undefined,None,,undefined,Not Found!, 267.18 Mil ,$,$0.09 
ACACU,10.5,undefined,None,,undefined,Not Found!, - ,$,$0.09 
BTU,3.06,344.6747526,-19.143,-20.94,112.638808,-0.92, 1.25 Bil ,($207),"$3,686 "
EXPR,4.02,441.5079842,-6.274,-57.12,109.8278568,-3.46, 1.32 Bil ,($340),"$1,449 "
ACCD,45.37,undefined,None,25.4,undefined,-65.52, 2.31 Bil ,($48.60),$79.20 
ACER,3.11,undefined,-2.058,N/A,undefined,-1.76, 40.11 Mil ,($17.03),$6.39 
JILL,9.75,827.0761053,-15.44,-45.51,84.82831849,-3.69, 540.81 Mil ,($13.20),$607.80 
ACEV,9.97,undefined,None,,undefined,-258.46, 289.47 Mil ,$,$8.91 
ACEVU,10.8,undefined,None,,undefined,Not Found!, - ,$,$8.91 
CPE,38.55,2954.484211,-63.79,-40.5,76.64031675,-2.65, 4.87 Bil ,($117),"$3,652 "
ACGLO,26.24,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACGLP,25.62,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADMS,4.8,314.3666842,-2.028,-115.6,65.49305921,-6.58, 284.51 Mil ,($50.71),$170.01 
