TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
ABSI,Absci Corporation,1.31,-34.09564835164835,-1.22,20.40,-26.027212482174313,0.4681711,-1.9204003898975333,-0.11,-13120549,-63093500,164431008,35866848,1.781,22983000,1.1244635193133048,1.07793991416309,1.2558,1.165,0.081499994,-0.6821494136802887,92492200,USD,United States,128564160,hold,0.141,-19.0642020755133,-14.552826011842214,Healthcare,Biotechnology
ABUS,,2.55,,-0.47,N/A,,2.9919446,,-4.37,,,,,,,,,2.575,1.85,,,,,,,,,,,,
ACABU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACACU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACACW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACAC,,10.6,,0.03,,,,,N/A,,,,,,,,,10.57,9.97,,,,,,,,,,,,
ACAH,,10.19,,0.42,,,,,N/A,,,,,,,,,10.19,9.74,,,,,,,,,,,,
ACAX,,10.32,,0.07,,,,,N/A,,,,,,,,,10.32,9.83,,,,,,,,,,,,
ACAHU,,10.28,,-0.005,,,,,N/A,,,,,,,,,10.13,9.1,,,,,,,,,,,,
ACAXR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
ACAHW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACAXW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACAXU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACBAU,,10.56,,-0.208,,,,,N/A,,,,,,,,,10.54,10.08,,,,,,,,,,,,
ACBA,,11.02,,0.16,,,,,N/A,,,,,,,,,11.0,10.24,,,,,,,,,,,,
ACB,Aurora Cannabis Inc.,0.61,,-6.35,N/A,,0.40024406,,-13.23,,-118033872,258896992,35209504,,226079008,1.0892857142857142,1.093392857142857,0.6123,0.56,,,,,,223687488,,,,,,
ACBAW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,21.55,-44.38197802197803,-1.37,25.00,-2.0594885393029245,8.874949,-100.0116287385751,6.21,3173683456,-34956500,416823008,-3140880928,2.569,62000000,1.7606209150326797,1.7361111111111112,21.25,12.24,0.0801,-0.21547494298218578,162230000,USD,United States,3557703936,hold,-14.324,-6.980441010016305,-0.3239183763348633,Healthcare,Biotechnology
ACDCW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ACDC,,9.45,,2.22,N/A,,,,1.42,,,,,,,,,9.75,9.1,,,,,,,,,,,,
ACCD,"Accolade, Inc.",11.7,-46.7425054945055,-6.36,-0.90,-3.995085939701325,1.8512805,39.865475425420385,-1.21,879917504,21610624,321083008,-562524992,4.361,317392000,2.3076923076923075,2.2642998027613412,11.48,5.07,0.050100002,0.29348703044789093,73634000,USD,United States,883608000,buy,-7.974,2.1569684171818624,0.18435627497280876,Healthcare,Health Information Services
ACGL,Arch Capital Group Ltd.,72.92,127.37854945054946,4.98,17.95,1.7468259661347978,2.1038275,11.434971197083696,,28876406784,2373492992,2372999936,-25487963392,6.413,2726000128,1.7763702801461634,1.7637028014616325,72.4,41.05,0.0189,6.376929048898441,372200000,USD,Bermuda,27860963328,buy,13.125,163.10923136501114,2.2368243467500157,Financial Services,Insurance—Diversified
ACGLN,,19.1,,4.691,,,0.555415,,Not Found!,,2373492992,,,,2726000128,,,19.11,17.02,,,,,,,,,,,,
ACGLO,Arch Capital Group Ltd. - Depos,22.85,,4.691,,,0.6587643,,Not Found!,,2373492992,2372999936,-11285859584,,2726000128,1.148241206030151,1.1424422110552765,22.7346,19.9,,,,,,13658859520,,,,,,
ACGN,"Aceragen, Inc.",2.53,undefined,-94.39,N/A,undefined,0.74320143,8.056880109635651,-11.27,70183528,2645125,12044000,-8214518,1.43,560000,1.6754966887417218,1.5568211920529802,2.3508,1.51,0.0127,0.314017332462753,8423500,USD,United States,20258518,buy,-3.595,undefined,undefined,Healthcare,Biotechnology
ACER,,0.756,,-1.62,N/A,,,,N/A,,,,,,,,,0.75,0.65,,,,,,,,,,,,
ACHV,"Achieve Life Sciences, Inc.",8.47,-91.8101098901099,-4.04,15.00,-10.839446268017698,18.771553,-6.571599875448527,N/A,147600448,-23110124,24771000,-131402792,1.382,16198000,4.235,4.2175,8.435,2.0,0.0382,-1.2888794449649756,17930400,USD,Canada,156173792,buy,-3.639,-29.29013947458868,-3.458103834071863,Healthcare,Biotechnology
ACET,"Adicet Bio, Inc.",6.38,-65.44879120879122,-1.8,29.10,-10.258431223948467,0.94769317,-7.135609462345523,3.58,40426588,-38406376,257656000,-19419232,5.998,21023000,1.243664717348928,1.243664717348928,6.38,5.13,0.0862,-0.8941072284949365,42955000,USD,United States,277075232,strong_buy,-0.578,-32.51013184224227,-5.095631950194712,Healthcare,Biotechnology
ACHL,Achilles Therapeutics plc,0.86,,-1.98,3.20,,0.18435812,,N/A,,-46924376,173338000,138439636,,8576000,1.1466666666666667,1.1333333333333333,0.85,0.75,,,,,,34898364,,,,,,
ACHC,"Acadia Healthcare Company, Inc.",68.29,55.488738461538475,3.08,10.13,0.8125455917636326,2.2158163,-173.86030252171508,2.74,7982457856,-36150000,63829000,-6303131640,0.694,1588872960,1.0805379746835444,1.0890822784810126,68.83,63.2,0.040900003,-0.3927866166658177,92034704,USD,United States,6366960640,buy,13.761,-7.076374624468224,-0.10362241359596168,Healthcare,Medical Care Facilities
