TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AACG,,1.14,,-0.18,25.00,,0.35057437,,-1.28,,,,,,,,,1.1109,0.79,,,,,,,,,,,,,70.30
AACI,,10.72,,-0.02,,,,,N/A,,,,,,,,,10.77,8.56,,,,,,,,,,,,,56.99
AACIU,,10.7,,-0.203,,,,,N/A,,,,,,,,,10.7,9.71,,,,,,,,,,,,,99.94
AADI,"Aadi Bioscience, Inc.",2.1,undefined,-2.32,N/A,undefined,0.4191741,-1.314986184375272,-1.52,-68423760,-39167248,119335000,69792684,4.866,1369000,1.105263157894737,1.0526315789473684,2.0,1.9,0.0394,-1.59697495300886,24525900,USD,United States,49542316,buy,0.984,undefined,undefined,Healthcare,Biotechnology,24.10
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAGRW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
AAL,,13.98,,2.39,83.39,,,,0.79,,,,,,,,,13.69,10.86,,,,,,,,,,,,,58.66
AAME,Atlantic American Corporation,2.15,undefined,0.14,N/A,undefined,0.50653297,1.8525515365997745,,65889644,23678124,23921000,-26066676,1.172,39768000,1.4429530201342282,1.483221476510067,2.21,1.49,0.014099999,1.1605615053204785,20402300,USD,United States,49987676,none,8.56,undefined,undefined,Financial Services,Insurance - Life,77.24
AAGR,,,,,,,,,-10.79,,,,,,,,,,,,,,,,,,,,,,,N/A
AAOI,"Applied Optoelectronics, Inc.",21.9,-43.09327548806941,-2.1,13.00,-1.967729474341069,3.7118156,280.14547296441685,1.64,796331712,2961375,21940000,-709940256,0.617,131705000,13.687499999999998,11.0753125,17.7205,1.6,0.25959998,0.07817367087270999,37882000,USD,United States,731880256,buy,-23.3,1.6041712070625522,0.07324982680650924,Technology,Communication Equipment,66.48
AAON,"AAON, Inc.",74.23,40.110629067245114,2.05,12.00,0.5403560429374257,8.791954,363.78384787549766,16.88,6038698496,16578000,2859000,-5998701576,0.035,40000000,1.5836296514267505,1.569549150686596,73.57,46.873333,0.0419,0.20404974116774055,81244896,USD,United States,6001560576,buy,23.051,3.992469989876399,0.053785127170637194,Industrials,Building Products & Equipment,78.35
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAPL,Apple Inc.,193.58,85.51538394793927,6.12,6.14,0.4417573300337807,48.168625,36.635568980918364,8.37,3056746364928,82179997696,61554999296,-2932825473024,3.958,123930001408,1.5589917049206734,1.5440525086574857,191.725,124.17,0.0077,5.283935950355409,15552799744,USD,United States,2994380472320,buy,24.295,73.83297574362128,0.3814080780226329,Technology,Consumer Electronics,50.94
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
AAXJ,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
ABAT,American Battery Technology Com,4.97,undefined,-7.45,N/A,undefined,3.6697967,-9.888674256906427,N/A,235319040,-24701196,5457540,-225043292,0.115,19078714,1.4924924924924925,1.3993993993993994,4.66,3.33,0.0548,-0.5025951781684853,49147300,USD,United States,230500832,buy,-9.315,undefined,undefined,Basic Materials,Other Industrial Metals & Mining,50.48
ABCB,,53.7,,4.12,8.00,,1.0923054,,"Bancorp)  Altman Z-Score as of today (January 01, 2024) is ",,,,,,,,,52.72,28.33,,,,,,,,,,,,,"Bancorp)  14-Day RSI as of today (January 01, 2024) is 71.87"
ABCS,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
ABCL,AbCellera Biologics Inc.,5.93,-7.769197396963124,-0.44,10.00,-1.3101513316969855,1.3988242,-26.644183352998557,3.78,951789056,-64581000,785840000,-871030656,2.708,80757000,1.5322997416020672,1.4547803617571058,5.63,3.87,0.1268,-0.22256264796844047,290169984,USD,Canada,1656870656,buy,-5.339,-3.9298480574037,-0.6627062491405902,Healthcare,Biotechnology,68.45
ABEO,Abeona Therapeutics Inc.,5.14,undefined,-1.37,N/A,undefined,5.616592,-5.629797594835971,-15.06,76052320,-22618000,53754000,-70360240,2.17,5692000,2.3470319634703194,2.269406392694064,4.97,2.19,0.0191,-0.9129990756177013,24773300,USD,United States,124114240,buy,-1.711,undefined,undefined,Healthcare,Biotechnology,67.06
ABLLW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ABIO,"ARCA biopharma, Inc.",1.71,undefined,-0.37,N/A,undefined,0.64516133,-6.3369605246238905,N/A,-13688757,-3888500,38487000,13989830,2.671,301000,1.062111801242236,1.0301242236024846,1.6585,1.61,0.020499999,-0.26984545561793466,14410100,USD,United States,24497170,none,2.165,undefined,undefined,Healthcare,Biotechnology,32.12
ABLLL,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
ABL,"Abacus Life, Inc.",10.05,,-0.09,,,3.6912494,,326.69,,-16308528,36649192,-575309848,,118992864,1.837294332723949,1.7641681901279709,9.65,5.47,,,,,,611959040,,,,,,,72.45
ABLV,,2.72,,0.18,,,1.1268781,,5.09,,-11964331,,,,,,,2.43,1.6,,,,,,,,,,,,,52.28
ABLVW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ABTS,,,,,,,,,33.27,,,,,,,,,,,,,,,,,,,,,,,55.85
ABOS,"Acumen Pharmaceuticals, Inc.",3.83,-19.281735357917572,-1.11,9.70,-5.034395654808765,0.79338837,-7.1103664224918655,N/A,6944170,-31193500,215434000,-6942320,3.72,2000,2.116022099447514,2.052486187845304,3.715,1.81,0.0128,-0.5386501584341354,57910500,USD,United States,222376320,buy,-0.122,-9.356855680565198,-2.443043258633211,Healthcare,Biotechnology,75.08
ABNB,"Airbnb, Inc.",137.0,239.58047722342735,8.23,22.00,1.7487626074702727,9.535617,20.78615462600827,5.44,78372872192,2876497408,10961999872,-76293670912,17.149,2308999936,1.6251482799525505,1.6065243179122184,135.43,84.3,0.0502,6.590925664941481,436432992,USD,United States,87255670784,hold,34.603,191.86599224189735,1.400481695196331,Consumer Cyclical,Travel Services,49.12
ABSI,Absci Corporation,4.6,-35.207635574837305,-1.16,23.30,-7.653833820616806,1.9876952,-11.388573734432374,3.25,294610592,-37539124,113479000,-276862664,1.221,17748000,4.14041404140414,3.717371737173717,4.13,1.111,0.0379,-0.40391361616181093,92938496,USD,United States,390341664,buy,-3.893,-12.259347759948067,-2.6650755999887106,Healthcare,Biotechnology,93.17
ABUS,Arbutus Biopharma Corporation,2.54,undefined,-0.46,N/A,undefined,3.511236,-9.20318611818892,-5.11,286967104,-46282376,134180000,-285057504,0.8,1909000,1.502958579881657,1.467455621301775,2.48,1.69,0.049099997,-0.27599137596272394,167695008,USD,United States,419237504,buy,-3.721,undefined,undefined,Healthcare,Biotechnology,80.71
ABVC,"ABVC Biopharma, Inc.",1.25,undefined,-3.57,N/A,undefined,0.61116964,-5.502463042193407,-6.64,11636778,-1642887,568590,-7820460,0.079,3886517,1.8545994065281899,1.7062314540059345,1.15,0.674,0.0092,-0.22717099422838133,7231940,USD,United States,8389050,hold,-1.243,undefined,undefined,Healthcare,Biotechnology,46.65
ACABW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACABU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,23.54
ABVX,Abivax SA,10.8,,-2.69,N/A,,5.655391,,N/A,,-35893752,114381000,-585071544,,41469000,1.350844277673546,1.2757973733583488,10.2,7.995,,,,,,699452544,,,,,,,53.84
ACAB,,10.62,,0.17,,,,,N/A,,,,,,,,,10.58,9.79,,,,,,,,,,,,,41.18
ACAC,,11.08,,0.15,,,,,N/A,,,,,,,,,11.06,9.88,,,,,,,,,,,,,63.95
ACACU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,65.08
ACACW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACAHU,,10.52,,-0.005,,,,,N/A,,,,,,,,,10.52,9.173,,,,,,,,,,,,,43.46
ACAHW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACAD,ACADIA Pharmaceuticals Inc.,31.385,302.68850325379606,-0.91,-357.00,9.644368432493103,14.173833,-116.13424910875209,6.82,4851701760,-44369248,345920000,-4794555904,2.107,57134000,1.9901712111604313,1.9771718452758402,31.18,15.77,0.0627,-0.27024758192228043,164180000,USD,United States,5140475904,buy,-32.349,89.89102865935462,2.8641398330206984,Healthcare,Biotechnology,75.24
ACAH,,10.55,,0.26,,,,,N/A,,,,,,,,,10.59,10.01,,,,,,,,,,,,,55.68
ACAXR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,,Not Found!
ACAX,,10.99,,0.1,,,,,N/A,,,,,,,,,10.3,4.68,,,,,,,,,,,,,27.64
ACAXW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
ACAXU,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,51.62
ACB,Aurora Cannabis Inc.,0.491,,-5.99,N/A,,0.39749587,,-10.04,,-53704500,128917000,-103050984,,127011000,1.197560975609756,1.1609756097560975,0.476,0.41,,,,,,231967984,,,,,,,53.48
ACBA,,11.84,,-0.35,,,,,N/A,,,,,,,,,11.83,10.62,,,,,,,,,,,,,86.77
ACBAU,,11.72,,-0.208,,,,,N/A,,,,,,,,,11.72,10.08,,,,,,,,,,,,,4.56
ACBAW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A
