TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACG,ATA Creativity Global,0.94,-4.343811394891945,-0.15,25.00,-4.621075952012707,0.3963893,undefined,-1.45,62359152,N/A,40106500,8317862,0.637,38899864,1.88,1.84,0.92,0.5,0.0005,undefined,31473900,CNY,China,31788638,buy,-3.196,undefined,undefined,Consumer Defensive,Education & Training Services,65.70,0.07195
AADI,"Aadi Bioscience, Inc.",1.99,undefined,-2.43,--,undefined,0.62168074,-1.6361494743346723,-3.92,-28528480,-29938250,78568000,29584548,3.192,1056000,1.6446280991735538,1.6239669421487604,1.965,1.21,0.017,-1.2162702926694509,24614800,USD,United States,48983452,hold,0.405,undefined,undefined,Healthcare,Biotechnology,50.78,0.09974
AAL,"American Airlines Group, Inc.",13.4,3.307520628683694,0.42,0.61,0.2468298976629622,N/A,19.77110378676659,0.67,39120551936,445375008,8949999616,52446208,13.62,39173001216,1.4773980154355018,1.4773980154355018,13.4,9.07,0.14140001,0.677756798230407,657131008,USD,United States,8897553408,hold,7.721,5.3373680747087695,0.3983110503514007,Industrials,Airlines,66.81,0.01273
AADR,AdvisorShares Dorsey Wright,64.02,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3078651685393257,1.3103166496424923,64.14,48.95,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAME,Atlantic American Corporation,1.59,undefined,-0.17,--,undefined,0.3304947,3.0939376408446506,,52213604,10483625,21213000,-12038674,1.04,40120000,1.111888111888112,1.1398601398601398,1.63,1.43,0.011,0.5139082245904372,20399800,USD,United States,33251674,none,-148.334,undefined,undefined,Financial Services,Insurance - Life,48.48,0.80286
AAOI,"Applied Optoelectronics, Inc.",15.62,-34.94066797642436,-1.88,13.00,-2.236918564431777,3.6704447,-17.19751151560602,1.46,787278848,-37144376,10653000,-678030584,0.26,109248000,2.3313432835820893,2.3746268656716416,15.91,6.7,0.2801,-0.9082709429108684,40895700,USD,United States,688683584,buy,-20.115,-16.880634813235392,-1.0807064541123812,Technology,Communication Equipment,53.52,0.05731
AAON,"AAON, Inc.",114.22,39.69508840864441,2.24,12.00,0.3475318543919139,12.403805,109.07360926584332,23.68,9229703168,84835624,2859000,-9189708808,0.035,40000000,2.0144620811287477,1.9948853615520281,113.11,56.7,0.0463,1.0471827307154884,81013200,USD,United States,9192567808,buy,30.267,18.557147801677225,0.16246846263068837,Industrials,Building Products & Equipment,57.79,0.17525
AAPL,Apple Inc.,225.91,100.55080550098234,6.09,10.60,0.4450923177415003,59.17441,30.3598052920655,8.60,3411140673536,112478003200,65171001344,-3304291921920,4.311,106628997120,1.376828376401755,1.3425158459288151,220.28,164.08,0.0093,7.441088565183958,15115799552,USD,United States,3369462923264,buy,25.331,122.85836601533596,0.5438376610833339,Technology,Consumer Electronics,39.45,0.027190002
AAPB,GraniteShares 2x Long AAPL Dail,27.8,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.74732872407291,1.6668761785040855,26.52,15.91,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAPD,Direxion Daily AAPL Bear 1X Sha,17.04,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.056482112964226,1.0577221154442307,17.06,16.129,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
