TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACIU,Armada Acquisition Corp. I,10.9,undefined,-0.203,,undefined,N/A,undefined,N/A,90716248,1127652,54405,N/A,0.007,2776600,1.228861330326945,1.2311161217587374,10.92,8.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,57.97,0.0
AACI,Armada Acquisition Corp. I,10.98,undefined,-0.09,,undefined,N/A,78.60571612518757,N/A,91362080,1127652,54405,-88585483,0.007,2776600,1.0936254980079683,1.0936254980079683,10.98,10.04,0.0002,0.13968449803972574,8072850,USD,United States,88639888,none,N/A,undefined,undefined,Financial Services,Shell Companies,55.39,0.68711996
AACIW,Armada Acquisition Corp. I Warrant,0.026,undefined,N/A,,undefined,5.4,undefined,N/A,N/A,1127652,54405,N/A,0.007,2776600,0.9629629629629629,1.0,0.027,0.027,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A,N/A
AACG,ATA Creativity Global,1.5,-5.381744421906694,-0.18,25.00,-3.5878296146044626,0.47460702,undefined,-1.13,62509924,N/A,65506332,16206132,1.043,29782740,1.8987341772151898,1.8354430379746833,1.45,0.79,0.0022,undefined,31401400,CNY,China,49300200,buy,-2.666,undefined,undefined,Consumer Defensive,Education & Training Services,66.48,0.0
AADI,"Aadi Bioscience, Inc.",2.22,undefined,-2.32,N/A,undefined,0.44407558,-1.3901282520538591,-1.43,-65480660,-39167248,119335000,66849572,4.866,1369000,1.4322580645161291,1.3683870967741936,2.121,1.55,0.0614,-1.59697495300886,24525900,USD,United States,52485428,buy,0.942,undefined,undefined,Healthcare,Biotechnology,54.33,0.12465
AAGR,African Agriculture Holdings In,0.55,undefined,N/A,,undefined,N/A,-3.6641216276813546,-13.51,26701094,-8686049,34497,-20913283,0.001,12566293,1.8151815181518154,1.0066006600660067,0.305,0.303,N/A,-0.15010418754795496,57866800,USD,United States,20947780,none,-0.545,undefined,undefined,Consumer Defensive,Farm Products,12.55,0.53927
AAGRW,None,0.0111,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,0.9910714285714286,1.0,0.0112,0.0112,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A,N/A
AADR,AdvisorShares Dorsey Wright,60.6,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3593539703903097,1.3465679676985196,60.03,44.58,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAOI,"Applied Optoelectronics, Inc.",14.84,-33.58012170385396,-1.75,13.00,-2.262811435569674,2.6202736,129.377676514829,1.40,642462720,4404375,45366000,-521389968,1.181,121073000,9.274999999999999,9.15,14.64,1.6,0.2206,0.11470294103093642,38398100,USD,United States,566755968,buy,-30.708,2.200993554062188,0.14831492951901537,Technology,Communication Equipment,42.01,0.04111
AAL,"American Airlines Group, Inc.",14.9,61.76055983772821,1.21,48.69,4.145004015954913,N/A,6.176561559449212,0.76,41889828864,1579500032,8384999936,-1226833408,12.806,40662999040,1.3720073664825048,1.3499079189686924,14.66,10.86,0.0719,2.412345421734725,654756992,USD,United States,9611833344,buy,6.65,123.13041633745219,8.26378633137263,Industrials,Airlines,47.07,0.0187
