TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
AACIU,,9.96,,-0.203,,,None,N/A,,None,439863,,,483034,,,9.96,9.8,,,,,,,,,,,
AACI,Armada Acquisition Corp. I,9.88,undefined,-0.203,,undefined,None,N/A,205274320,None,439863,-204377097,0.021,483034,1.0578158458244111,1.0588865096359743,9.89,9.34,0.0001,undefined,20709500,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
AACG,ATA Creativity Global,2.45,-5.1138775510204075,-0.153,25.00,-2.0872969596001663,0.4556804,-0.77,58345260,None,60516272,-8684664,1.927,36677972,2.784090909090909,2.409090909090909,2.12,0.88,None,undefined,31598600,USD,China,strong_buy,-1.298,undefined,undefined,Consumer Defensive,Education & Training Services
AADR,,49.27,,None,,,None,Not Found!,,,,,,,,,49.06,46.05,,,,,,,,,,,
AAL,"American Airlines Group, Inc.",12.93,353.81447619047617,-3.671,-105.10,27.363841932751445,None,0.36,41005445120,-761124992,12522000384,4080500736,19.269,44864999424,1.0838222967309303,1.07837384744342,12.865,11.93,0.1263,-1.171238990868877,649846016,USD,United States,hold,44.092,112.88512940564796,8.730481779245782,Industrials,Airlines
AAME,Atlantic American Corporation,2.97,undefined,0.13,N/A,undefined,0.5480733,,83680536,36375000,15910000,-43857608,0.78,38748000,1.400943396226415,1.3584905660377358,2.88,2.12,0.0025,1.7832193543642916,20398500,USD,United States,none,13.506,undefined,undefined,Financial Services,Insurance—Life
AADI,"Aadi Bioscience, Inc.",13.57,undefined,-8.813,N/A,undefined,2.6019719,4.26,162554880,-46894120,118737000,-164149144,5.65,1768000,1.2336363636363636,1.2093818181818181,13.3032,11,0.0484,-2.231268318678391,21016800,USD,United States,buy,-2.835,undefined,undefined,Healthcare,Biotechnology
AAON,"AAON, Inc.",57.94,21.0671201814059,1.03,12.00,0.3636023503867087,6.174591,8.54,3174527232,-92541872,17647000,-3012924776,0.332,112165000,1.2197894736842105,1.1938947368421053,56.71,47.5,0.026600001,-1.7408636043838626,53158600,USD,United States,buy,31.286,-35.6067793912527,-0.6145457264627667,Industrials,Building Products & Equipment
AAOI,"Applied Optoelectronics, Inc.",2.18,-43.117006802721086,-2.01,13.00,-19.778443487486737,0.28589422,-0.13,177342416,16189375,33667000,-29626956,1.207,150224992,1.472972972972973,1.4324324324324325,2.12,1.48,0.1529,0.5806222832714074,27882800,USD,United States,buy,-5.591,12.455072108271008,5.713335829482113,Technology,Semiconductors
AAPB,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,
AAPD,,26.0091,,None,,,None,Not Found!,,,,,,,,,25.64,23.4,,,,,,,,,,,
AAPU,,23.3353,,None,,,None,Not Found!,,,,,,,,,22.671,22.66,,,,,,,,,,,
AAPL,Apple Inc.,157.96,108.53233560090703,6.05,9.48,0.6870874626545139,43.160664,7.69,2609996103680,83344621568,48230998016,-2455760363520,3.001,119691001856,1.2241165530068197,1.2009066955982641,154.965,129.04,0.0072000003,5.186090274071069,16070800384,USD,United States,buy,20.146,93.03446117059192,0.58897481115847,Technology,Consumer Electronics
AATC,Autoscope Technologies Corporat,5.1,2.8435374149659864,0.1,20.00,0.5575563558756836,1.4593914,6.97,26289856,-1973750,2605000,-24577872,0.483,1712000,1.0537190082644627,1.028904958677686,4.9799,4.84,0.0001,-0.36558440716517654,5398890,USD,United States,none,20.396,-10.395529401023389,-2.0383390982398804,Technology,Scientific & Technical Instruments
AAWW,Atlas Air Worldwide Holdings,99.79,269.1183673469388,14.58,10.00,2.696847052279174,0.98826456,2.04,4489180672,253291376,606566976,-2224400064,21.417,2269519104,1.7,1.6988074957410562,99.72,58.7,0.1688,8.943588715087744,28321000,USD,United States,hold,4.413,165.081206668513,1.6542860674267261,Industrials,Airports & Air Services
AAXJ,,66.4,,None,,,None,Not Found!,,,,,,,,,65.485,65.43,,,,,,,,,,,
ABCB,Ameris Bancorp,46.2,86.97183673469388,5.283,8.00,1.8825072886297376,1.1600847,,1516408832,None,2306835968,-900561408,33.367,553870016,1.208791208791209,1.2001569858712715,45.87,38.22,0.0402,undefined,69635200,USD,United States,buy,None,undefined,undefined,Financial Services,Banks—Regional
ABCL,AbCellera Biologics Inc.,11.07,11.886984126984128,0.644,10.00,1.0738016374872743,3.1966972,6.85,2110966528,109252000,786052992,-2266284928,2.763,40276000,2.0424354243542435,1.9723247232472325,10.69,5.42,0.1269,0.38799493965842696,281580992,USD,Canada,buy,7.37,7.1616299519718725,0.6469403750652097,Healthcare,Biotechnology
ABCM,Abcam plc,14.13,undefined,0.097,N/A,undefined,5.053457,27.15,3304900096,20687500,219900000,-3072752800,0.962,110500000,1.1267942583732058,1.120414673046252,14.05,12.54,None,0.09038421208996697,228884000,USD,United Kingdom,buy,48.889,undefined,undefined,Healthcare,Biotechnology
ABEO,Abeona Therapeutics Inc.,3.48,undefined,-0.909,N/A,undefined,3.3458292,-26.39,1056804,-62891376,31315000,-492111240,5.328,9095000,12.888888888888888,12.74074074074074,3.44,0.27,0.0367,-0.4289471688332947,146618000,USD,United States,buy,-0.02,undefined,undefined,Healthcare,Biotechnology
ABGI,ABG Acquisition Corp. I,9.875,undefined,-0.099,,undefined,None,N/A,189767232,None,271738,-191120998,0.014,0,1.025441329179647,1.0264797507788161,9.885,9.63,0.0023,undefined,15566300,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ABIO,"ARCA biopharma, Inc.",2.32,undefined,-2.067,N/A,undefined,0.48234808,N/A,-13294150,-10873750,49059000,15195268,3.404,460000,1.3567251461988303,1.3567251461988303,2.32,1.71,0.005,-0.7545922651473619,14410100,USD,United States,none,0.719,undefined,undefined,Healthcare,Biotechnology
ABMD,"ABIOMED, Inc.",259.53,141.702947845805,4.94,20.25,0.5459983348584172,8.894487,45.18,12602078208,200419504,758606976,-11127159680,16.649,9996000,1.1804866954741868,1.1725267227655218,257.78,219.85,0.05,4.4050663003461725,45497500,USD,United States,buy,44.384,126.35847777636982,0.48687426415585805,Healthcare,Medical Devices
ABNB,"Airbnb, Inc.",113.4,-594.8297142857143,-7.886,67.10,-5.245411942554799,15.980874,3.74,63718404096,2564918784,9322289152,-62883317760,14.647,2406010112,1.3078076346442165,1.2954676507899896,112.33,86.71,0.059699997,7.3954477890803405,346824000,USD,United States,buy,74.645,557.8280618049171,4.919118710801738,Consumer Cyclical,Travel Services
ABOS,"Acumen Pharmaceuticals, Inc.",6.09,-377.2099047619048,-9.312,32.10,-61.939229024943316,1.0006938,N/A,31437844,-43913124,189090000,-44423632,4.669,201000,2.0165562913907285,1.8543046357615893,5.6,3.02,0.0312,-1.0850703849489625,40470300,USD,United States,strong_buy,None,-43.9539622601548,-7.217399385903909,Healthcare,Biotechnology
