TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACI,Armada Acquisition Corp. I,9.92,undefined,-0.203,,undefined,None,N/A,205688512,None,439863,-205205481,0.021,483034,1.0620985010706638,1.0620985010706638,9.92,9.34,0.0001,undefined,20709500,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
AACG,ATA Creativity Global,2.6,-5.5275,-0.153,25.00,-2.1259615384615382,0.5409904,-0.61,60229260,None,60516272,-21640088,1.927,36677972,2.9545454545454546,2.8863636363636362,2.54,0.88,None,undefined,31598600,USD,China,strong_buy,-1.34,undefined,undefined,Consumer Defensive,Education & Training Services
AACIU,,9.98,,-0.203,,,None,N/A,,None,439863,,,483034,,,9.98,9.8,,,,,,,,,,,
AACIW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
AADR,,51.865,,None,,,None,Not Found!,,,,,,,,,50.9,46.05,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",13.23,undefined,-8.813,N/A,undefined,2.5053163,3.99,161083696,-46894120,118737000,-153640728,5.65,1768000,1.2027272727272729,1.1563636363636365,12.72,11,0.0484,-2.231268318678391,21016800,USD,United States,buy,-2.809,undefined,undefined,Healthcare,Biotechnology
AAL,"American Airlines Group, Inc.",14.84,382.4318235294117,-3.671,-105.10,25.77033851276359,None,0.36,41986711552,-761124992,12522000384,3313682432,19.269,44864999424,1.2439228834870075,1.1701592623637889,13.96,11.93,0.1397,-1.171238990868877,649846016,USD,United States,hold,45.147,122.01554428404596,8.22207171725377,Industrials,Airlines
AAME,Atlantic American Corporation,3.13,undefined,0.13,N/A,undefined,0.5349794,,86742352,36375000,15910000,-42429708,0.78,38748000,1.4764150943396226,1.3254716981132075,2.81,2.12,0.0152,1.7832193543642916,20398500,USD,United States,none,14,undefined,undefined,Financial Services,Insurance—Life
AAOI,"Applied Optoelectronics, Inc.",2.74,-46.60441176470588,-2.01,13.00,-17.008909403177327,0.31738034,-0.13,192956752,16189375,33667000,-36597656,1.207,150224992,1.8513513513513515,1.6891891891891893,2.5,1.48,0.15529999,0.5806222832714074,27882800,USD,United States,buy,-6.083,13.462467646439986,4.913309360014593,Technology,Semiconductors
AAON,"AAON, Inc.",62.87,22.771078431372555,1.03,12.00,0.3621930719162169,6.6446443,8.91,3436599296,-92541872,17647000,-3243633000,0.332,112165000,1.323578947368421,1.2789473684210526,60.75,47.5,0.0277,-1.7408636043838626,53158600,USD,United States,buy,33.869,-38.48673948907461,-0.6121638219989599,Industrials,Building Products & Equipment
AAPB,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,
AAPD,,23.68,,None,,,None,Not Found!,,,,,,,,,23.737,23.4,,,,,,,,,,,
AAPL,Apple Inc.,174.15,117.11678431372549,6.04,9.48,0.6725052214397099,47.512466,8.18,2870181363712,83344621568,48230998016,-2708232822784,3.001,119691001856,1.3495815251084937,1.327573620582765,171.3101,129.04,0.0067000003,5.186090274071069,16070800384,USD,United States,buy,22.154,100.55930729468393,0.5774292695646508,Technology,Consumer Electronics
AAPU,,27.12,,None,,,None,Not Found!,,,,,,,,,26.4475,24.83,,,,,,,,,,,
