Symbol|Price Paid|Number Of SHares Held
ITIC|199.5|8|
AMKR|25|63|
IMKTA|87.22|18|
OCSL|7.54|212|
HVT|30.71|52|
FB|338.53|5|
DKS|115.24|14|
RS|167.14|9|
F|23.75|70|
PFE|55.63|28|
NTR|69.93|22|
BRK.B|298.385|3|
KEN|49.1048|20|
WHR|230.242|4|
FNF|51.1|19|
GS|388.4191|2|
WBD|31.25|32|
FLWS|24.1822|41|
GEO|7.80|135|
ORI|24.605|40|
CINF|115.065|8|
HZO|58.82|17|
BTG|3.87|259|
AAL|90|2|
JBLU|127|2|
