TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AADI,"Aadi Bioscience, Inc.",2.61,-85.81477611940299,-2.28,37.35,-32.87922456682107,0.92566115,-1.8095794837242598,-4.07,2656693,-35620500,62619000,-1345192,2.541,946000,2.15702479338843,2.115702479338843,2.56,1.21,0.0643,-1.4423240446053303,24696600,USD,United States,63964192,none,-0.042,-0.002431962941517082,-54.286278499753614,-20.79934042136154,Healthcare,Biotechnology,40.37,0.11432999
AACBU,Artius II Acquisition Inc. Unit,10.0,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,1.0,10.0,10.0,N/A,undefined,N/A,None,N/A,251750000,none,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A
AACG,ATA Creativity Global,0.8401,undefined,-0.18,N/A,undefined,0.3992395,undefined,-1.68,53645976,N/A,39391128,12953052,0.625,39645840,1.6802,1.666,0.833,0.5,0.0174,undefined,31473900,CNY,China,26438076,none,-1.825,-0.15246449456975772,undefined,undefined,Consumer Defensive,Education & Training Services,48.45,0.07195
AAL,"American Airlines Group, Inc.",15.74,33.01083582089552,1.24,23.93,2.097257676041647,N/A,12.939633053068212,0.77,40276090880,799875008,7617999872,-2883330048,11.585,37544001536,1.735391400220507,1.7243660418963616,15.64,9.07,0.089099996,1.2164178022241343,657566016,USD,United States,10501329920,buy,7.32,0.8423475258918298,32.38303899906085,2.0573722362808673,Industrials,Airlines,33.56,0.0127
AADR,AdvisorShares Dorsey Wright,76.6691,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4049679310976728,1.4088326919552867,76.88,54.57,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A
AAOI,"Applied Optoelectronics, Inc.",27.04,undefined,-1.95,N/A,undefined,5.476845,-35.13266084754758,2.88,1306106624,-38015376,34124000,-1245149472,0.757,121316000,4.035820895522388,3.838149253731343,25.7156,6.7,0.2011,-0.769654200612235,49392800,USD,United States,1279273472,buy,-26.794,-1.043380062305296,undefined,undefined,Technology,Communication Equipment,44.83,0.050830003
AAON,"AAON, Inc.",112.86,47.520985074626864,2.28,16.89,0.42106135986733,11.537521,104.58112778329976,26.90,9210359808,87713872,2859000,-9194740744,0.035,40000000,1.605862265224815,1.5970404097894138,112.24,70.28,0.0269,1.079162200601381,81279600,USD,United States,9197599744,none,29.642,2.3450949367088607,22.492478433280574,0.1992953963608061,Industrials,Building Products & Equipment,42.06,0.18134001
AAME,Atlantic American Corporation,N/A,undefined,-0.36,N/A,undefined,0.3087611,undefined,,50562440,5282625,23035000,-9604680,1.129,39891000,1.3015873015873014,1.2674603174603174,1.597,1.26,0.0114,0.25895474465435936,20399800,USD,United States,32639680,none,-10.052,-1.037358101135191,undefined,undefined,Financial Services,Insurance - Life,54.51,0.80286
AAPL,Apple Inc.,241.53,116.10335820895523,6.3,13.95,0.480699533014347,55.114914,38.66714520404074,10.22,3671305224192,93833871360,53774999552,-3620630863872,3.58,96798998528,1.4720258410531446,1.4687957094100437,241.0,164.08,0.0083,6.246388212149677,15022100480,USD,United States,3674405863424,buy,26.729,1.0627833001988072,115.11534096943004,0.47660887247724937,Technology,Consumer Electronics,57.68,0.02268
AAPG,Ascentage Pharma Group Internat,17.26,undefined,-0.17,N/A,undefined,7.363746,-7.794897301309635,7.38,5949715456,-771156864,1100313984,-5252076160,3.557,1700094976,1.0460606060606061,1.0848484848484847,17.9,16.5,N/A,-2.214269070241646,348267008,CNY,China,6352390144,none,-22.615,-1.3094962362478286,undefined,undefined,Healthcare,Biotechnology,N/A,N/A
