TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AACIU,Armada Acquisition Corp. I,11.0,undefined,-0.203,,undefined,N/A,undefined,N/A,95640688,1127652,54405,N/A,0.007,2776600,1.2401352874859077,1.2976324689966179,11.51,8.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,98.12,0.0
AACIW,Armada Acquisition Corp. I Warrant,0.0585,undefined,N/A,,undefined,14.620001,undefined,N/A,N/A,1127652,54405,N/A,0.007,2776600,0.8002735978112175,1.0,0.0731,0.0731,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Financial Services,Shell Companies,N/A,N/A
AACG,ATA Creativity Global,1.16,-4.952173913043479,-0.17,25.00,-4.269115442278862,0.32648125,undefined,-1.31,31737924,N/A,65506332,31592820,1.043,29782740,1.4683544303797467,1.2658227848101264,1.0,0.79,0.0007,undefined,31401400,CNY,China,33913512,buy,-1.354,undefined,undefined,Consumer Defensive,Education & Training Services,31.98,0.0
AACI,Armada Acquisition Corp. I,11.06,undefined,-0.09,,undefined,N/A,79.17843536835834,N/A,91604264,1127652,54405,-89231323,0.007,2776600,1.0983118172790467,1.0983118172790467,11.06,10.07,0.0002,0.13968449803972574,8072850,USD,United States,89285728,none,N/A,undefined,undefined,Financial Services,Shell Companies,52.60,0.68711996
AADI,"Aadi Bioscience, Inc.",2.15,undefined,-2.44,N/A,undefined,0.50887024,-1.4001758457437639,-2.22,-54049832,-37703500,108845000,55316844,4.433,1267000,1.3870967741935483,1.3419354838709678,2.08,1.55,0.0589,-1.5355214179244283,24554200,USD,United States,53528156,buy,0.753,undefined,undefined,Healthcare,Biotechnology,54.27,0.1245
AAGR,African Agriculture Holdings In,0.4039,undefined,N/A,,undefined,N/A,-2.6907976825827253,-13.41,28932170,-8686049,34497,-24211693,0.001,12566293,1.333003300330033,1.3201320132013203,0.4,0.303,N/A,-0.15010418754795496,57866800,USD,United States,24246190,none,-0.59,undefined,undefined,Consumer Defensive,Farm Products,31.20,0.53927
AAGRW,None,0.013,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,-8686049,34497,N/A,0.001,12566293,1.0,1.0,0.013,0.013,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,Consumer Defensive,Farm Products,N/A,N/A
AADR,AdvisorShares Dorsey Wright,62.31,undefined,N/A,,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3658483121437968,1.3704515563349409,62.52,45.62,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AAL,"American Airlines Group, Inc.",14.78,60.17382608695654,1.21,48.69,4.071300817791376,N/A,6.126817439507339,0.76,41981497344,1579500032,8384999936,-1318498816,12.806,40662999040,1.3609576427255985,1.3485267034990793,14.645,10.86,0.0655,2.412345421734725,654756992,USD,United States,9703498752,buy,6.665,119.96698666870341,8.116846188680881,Industrials,Airlines,54.41,0.0187
AAOI,"Applied Optoelectronics, Inc.",14.92,-32.71739130434783,-1.75,13.00,-2.1928546450635276,2.6060715,130.0751302965801,1.39,639390912,4404375,45366000,-518318096,1.181,121073000,9.325,9.06875,14.51,1.6,0.2482,0.11470294103093642,38398100,USD,United States,563684096,buy,-30.561,2.1444462888392466,0.1437296440240782,Technology,Communication Equipment,46.64,0.04244
