TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE,PERCENT_DROP_SINCE_SEPTEMBER
BRK-B,Berkshire Hathaway Inc. New,476.19,304.6725,31.05,3.81,0.6398128898128899,0.0009588038,17.996056604640284,N/A,-234971136000,36799623168,373311012864,-657867407360,259563.16,135370997760,1.0461345811639096,1.0436960390166743,475.08,455.19,0.0095,26.46079696577607,1390722404,USD,United States,1031243104256,buy,-2.125,-0.28447121820615795,259.641776604039,0.5452482761167581,Financial Services,Insurance - Diversified,N/A,0.0027599998,60.6781796713968,65.26039537736122,-0.828875880716231
WEX,WEX Inc.,151.32,126.5221594202899,8.47,10.24,0.8361231788282442,4.2556467,4.723704772161765,0.84,4875082752,1099112448,5238700032,-16485376,152.685,4921900032,1.3700316885468538,1.3627885921231326,150.52,110.45,0.0614,32.03417810777993,34310618,USD,United States,5255185408,buy,5.575,0.27248289345063537,478.5163387780984,3.1622808536749827,Technology,Software - Infrastructure,43.54,0.0126600005,8.315467138610181,9.459713824878326,-4.227848101265827
GME,GameStop Corporation,23.08,undefined,0.77,N/A,undefined,1.8871963,-64.74676767939886,2.69,5696598528,-159700000,9013799936,-1254577152,20.103,4361900032,1.1580531861515302,1.1455092824887103,22.83,19.93,0.157,-0.356465671217493,448009480,USD,United States,10268377088,none,19.027,1.260066225165563,undefined,undefined,Consumer Cyclical,Specialty Retail,44.72,0.08877,-0.300586853960141,-0.33540711033463666,-4.628102180288584
XRX,Xerox Holdings Corporation,1.41,undefined,-8.25,N/A,undefined,0.4253172,0.4831198129205235,1.04,4480351232,375375008,512000000,322288736,3.981,4582000128,1.052238805970149,1.0373134328358207,1.39,1.34,0.324,2.9185306880220097,128617804,USD,United States,189711264,none,15.344,1.773872832369942,undefined,undefined,Industrials,Business Equipment & Supplies,33.83,0.08044,3.1438646688454943,4.794975419149778,-21.666664591541945
CNC,Centene Corporation,32.73,-514.1105869565218,-13.53,39.17,-15.70762563264656,0.82168823,3.1853679434809723,2.67,14040665088,5053000192,20320000000,3929271296,41.32,18161999872,1.305023923444976,1.3030303030303032,32.68,25.08,0.0273,10.275108113329171,491771000,USD,United States,16395645952,hold,5.482,0.4171993911719939,390.43177111495794,11.928865600823647,Healthcare,Healthcare Plans,28.92,0.00654,17.35788744777296,20.075504163513607,-26.614347265075804
GDRX,"GoodRx Holdings, Inc.",2.06,1.2453913043478262,0.09,8.86,0.6045588856057409,1.1566131,2.7303425197991937,0.28,986689472,81944752,261820000,-454160672,0.764,542806016,1.1638418079096045,1.1468926553672316,2.03,1.77,0.0946,0.7544840931355035,108610311,USD,United States,715980672,none,8.067,0.6134600760456274,10.44031032066346,5.068111806147311,Healthcare,Health Information Services,42.17,0.12397,3.9015964412379023,5.657738711605176,-5.069127761590217
LULU,lululemon athletica inc.,158.72,118.39547101449277,13.25,2.71,0.7459392075005845,3.7126691,21.279297626439426,6.43,18339053568,824078400,1807202048,-16743205120,15.633,1798440960,1.0132788559754853,1.0055541368743617,157.51,156.64,0.056399997,7.458892806818546,110482671,USD,Canada,18550407168,hold,6.775,0.6181569343065694,66.64899072527501,0.41991551616226697,Consumer Cyclical,Apparel Retail,36.27,0.04713,212.97882744155757,299.3609341618019,-9.90520426310667
HOG,"Harley-Davidson, Inc.",18.47,13.384289855072465,2.78,-2.46,0.7246502357916874,0.6861734,-4.489012194521693,2.10,3820840960,-460208128,1314916992,-965220992,11.756,3053696000,1.080748976009362,1.071971913399649,18.32,17.09,0.21700001,-4.114490939129202,111850563,USD,United States,2280137984,hold,6.156,0.5637362637362637,-19.809186811285812,-1.0725060536700495,Consumer Cyclical,Recreational Vehicles,48.64,0.010319999,21.627225551897236,51.50858114365751,3.9392207327180953
MOH,Molina Healthcare Inc,139.84,87.45478260869567,8.92,3.80,0.6253917520644713,1.7490977,-72.0176,4.18,2991759872,-100000000,8256000000,1069174784,160.311,4046000128,1.1551296877581365,1.1378655212291426,137.75,121.06,0.0838,-1.941747572815534,51500000,USD,United States,7186825216,hold,3.317,0.2524353120243531,-19.03756859434361,-0.13613821935314366,Healthcare,Healthcare Plans,43.34,0.01455,23.645538589316043,21.855209907048277,-8.253508935882149
TSLA,"Tesla, Inc.",385.95,33.616956521739134,1.08,30.55,0.08710184355937073,17.489614,387.99803478158015,17.29,1419639128064,3732624896,44059000832,-1393084792832,11.741,14718999552,1.8014002333722285,1.7712018669778298,379.48,214.25,0.0182,0.994721533105875,3752431984,USD,United States,1437219028992,buy,135.165,undefined,30.96250974968323,0.08022414755715308,Consumer Cyclical,Auto Manufacturers,43.30,0.111499995,4.893689216642099,4.715664371495514,-4.3067556800512135
