TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AADI,"Aadi Bioscience, Inc.",1.75,undefined,-2.43,--,undefined,0.524836,-1.4388249146159178,-4.12,-34436040,-29938250,78568000,37215136,3.192,1056000,1.4462809917355373,1.322314049586777,1.6,1.21,0.0113,-1.2162702926694509,24614800,USD,United States,41352864,buy,0.489,undefined,undefined,Healthcare,Biotechnology,66.95,0.10786
AAGR,African Agriculture Holdings In,0.148,undefined,-0.8,--,undefined,N/A,0.31174721335194433,-15.52,20022906,27471894,67183,-8063102,0.001,11699398,1.3214285714285714,1.2098214285714286,0.1355,0.112,0.0241,0.47474361810226245,57866800,USD,United States,8130285,none,-0.457,undefined,undefined,Consumer Defensive,Farm Products,46.36,0.53202
AADR,AdvisorShares Dorsey Wright,61.91,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3351304722881172,1.3441880526202286,62.33,46.37,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
AACG,ATA Creativity Global,0.61,-4.635220125786164,-0.15,25.00,-7.598721517682236,0.23155414,undefined,-1.59,37159152,N/A,40106500,21256000,0.637,38899864,1.22,1.0558,0.5279,0.5,0.0011,undefined,31950000,CNY,China,18850500,buy,-1.905,undefined,undefined,Consumer Defensive,Education & Training Services,43.31,0.07085
AAL,"American Airlines Group, Inc.",10.21,-9.630188679245284,-0.18,49.50,-0.9432114279378339,N/A,9.933256059259259,0.65,37164945408,675000000,8986999808,2308320256,13.685,39446999040,1.1256890848952592,1.1003307607497244,9.98,9.07,0.1438,1.0278603449956145,656704000,USD,United States,6678679552,hold,7.216,54.99160587901066,5.386053465133267,Industrials,Airlines,49.29,0.01274
AAME,Atlantic American Corporation,1.53,undefined,-0.17,--,undefined,0.324412,2.977185277039192,,51601612,10483625,21213000,-11426680,1.04,40120000,1.0268456375838926,1.0268456375838926,1.53,1.49,0.0104,0.5139082245904372,20399800,USD,United States,32639680,none,-146.595,undefined,undefined,Financial Services,Insurance - Life,54.43,0.80286
AAOI,"Applied Optoelectronics, Inc.",9.62,-37.28469601677149,-1.88,13.00,-3.8757480266914235,2.000872,-10.591553186948138,0.30,492011776,-37144376,10653000,-364769528,0.26,109248000,1.4444444444444442,1.3723723723723724,9.14,6.66,0.2511,-0.9082709429108684,40895700,USD,United States,375422528,buy,-12.571,-18.01308830175433,-1.8724624014297642,Technology,Communication Equipment,58.15,0.05731
AAPL,Apple Inc.,227.18,128.48000000000002,6.57,12.70,0.565542741438507,52.037884,40.089864300880386,10.19,3493578932224,86158123008,61801000960,-3405189976064,4.065,101304000512,1.3845685031691857,1.3706118966357872,224.89,164.08,0.0077,5.666768994152247,15204100096,USD,United States,3466990977024,buy,26.51,110.81681588564396,0.48779300944468684,Technology,Consumer Electronics,61.00,0.02703
AAON,"AAON, Inc.",93.85,42.168972746331235,2.23,12.00,0.44932309798967757,10.186927,89.62141682366831,20.03,7640224768,84835624,2859000,-7546761224,0.035,40000000,1.7965160796324653,1.7591883614088821,91.9,52.24,0.0575,1.0471827307154884,81013200,USD,United States,7549620224,buy,25.055,19.80207176321532,0.21099703530330657,Industrials,Building Products & Equipment,65.55,0.17525
AAPB,GraniteShares 2x Long AAPL Dail,28.9,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.8164676304211187,1.7818981772470146,28.35,15.91,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,N/A,N/A,N/A,N/A
