TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP
AADI,"Aadi Bioscience, Inc.",2.64,-68.84629787234044,-2.28,26.98,-26.078143133462287,0.9185132,-1.8303792479049987,-4.09,1670797,-35620500,62619000,-851260,2.541,946000,2.181818181818182,2.090909090909091,2.53,1.21,0.0696,-1.4423240446053303,24696600,USD,United States,63470260,hold,-0.026,-0.0015402843601895735,-43.55204859795501,-16.496988105285986,Healthcare,Biotechnology,43.49,0.11432999
AACG,ATA Creativity Global,0.8901,undefined,-0.18,N/A,undefined,0.40399238,undefined,-1.68,53740476,N/A,39391128,12638312,0.625,39645840,1.7802,1.7,0.85,0.5,0.019199999,undefined,31473900,CNY,China,26752816,none,-1.828,-0.1555744680851064,undefined,undefined,Consumer Defensive,Education & Training Services,50.66,0.07195
AACBU,Artius II Acquisition Inc.,10.03,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.003,1.00211,10.0211,10.0,N/A,undefined,N/A,None,N/A,252505248,none,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A
AADR,AdvisorShares Dorsey Wright,75.88,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3905076049111231,1.3661334066336814,74.5499,54.57,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A
AAL,"American Airlines Group, Inc.",15.18,35.205446808510644,1.24,24.86,2.3191993945000426,N/A,10.370913259084908,0.76,39480573952,962499968,7617999872,-1936579584,11.585,37544001536,1.673649393605292,1.5667034178610806,14.21,9.07,0.087799996,1.4637090891395064,657576000,USD,United States,9554579456,buy,7.031,0.692027559055118,41.55688103293101,2.7376074461746382,Industrials,Airlines,31.69,0.01442
AAOI,"Applied Optoelectronics, Inc.",25.19,undefined,-2.04,N/A,undefined,4.832161,-32.72898397743061,0.74,1233892992,-38015376,79133000,-1108270008,1.755,177506000,3.7597014925373133,3.2850746268656716,22.01,6.7,0.18370001,-0.769654200612235,49392800,USD,United States,1187403008,buy,-25.312,-1.1038813781072832,undefined,undefined,Technology,Communication Equipment,43.12,0.05076
AAME,Atlantic American Corporation,1.57,undefined,-0.36,N/A,undefined,0.29332304,6.062835427462673,,47918632,5282625,23035000,-7972696,1.129,39891000,1.246031746031746,1.2063492063492063,1.52,1.26,0.0108,0.25895474465435936,20399800,USD,United States,31007696,none,-9.527,-1.0233082706766916,undefined,undefined,Financial Services,Insurance - Life,50.17,0.80286
AAON,"AAON, Inc.",102.02,80.83812765957445,2.28,33.16,0.792375295624137,8.850872,94.5362985686004,19.70,8329288192,87713872,2859000,-6388968456,0.035,40000000,1.4516220830961866,1.1176721684689812,78.55,70.28,0.04,1.079162200601381,81279600,USD,United States,6391827456,buy,26.807,2.2911965811965813,38.262040235790245,0.37504450338943585,Industrials,Building Products & Equipment,33.21,0.18134001
AAPB,GraniteShares 2x Long AAPL Dail,30.43,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.9126335637963545,1.8617221873035827,29.62,15.91,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A
AAPG,Ascentage Pharma Group Internat,20.67,undefined,-0.17,N/A,undefined,7.9935403,-9.334908877060844,8.34,6735540224,-771156864,1100313984,-5795372672,3.557,1700094976,1.252727272727273,1.196969696969697,19.75,16.5,N/A,-2.214269070241646,348267008,CNY,China,6895686656,none,-25.602,-1.5167061611374408,undefined,undefined,Healthcare,Biotechnology,64.79,N/A
